@English@|@Scottish Gaelic@
@summer@|@samhradh (m) -aidh -aidhean@
@sunburn@|@losgadh na grèine (m)@
@Sunday@|@Didòmhnaich (m)@
@Sunday (Day of the Sabbath)@|@Latha/Là na Sàbaid (m)@
@sunrise@|@èirigh na grèine (f)@
@supper@|@biadh-feasgar@
@support / dependence / prop (see Dwelly's)@|@taic (f) -e@
@suppressing@|@cùm fodha@
@sure / certain / accurate / positive / decisive@|@cinnteach (adj) -iche@
@surface / roof / top / upside@|@uachdar (m)@
@surly frown / gloomy / sulky look@|@gnoig (f) -e -ean@
@surname / bestow a surname / trace one's pedigree@|@sloinn (v)@
@surprise / wonder / marvel@|@iongnadh (m) -aidh -aidhean@
@surrender / giving up / extreme fatigue or despair@|@toirt-thairis (f)@
@sweat / perspiration@|@fallas (m) -ais@
@sweater / jersey@|@geansaidh (m)@
@sweet /@|@mìlsean (m) -ein -an@
@sweet / sweetness / confection@|@mìlse (f) -eachd -ag@
@sweetheart / lover / paramour@|@leannan (m)@
@sweetness / delcacy@|@mìlseachd (f)@
@sweltry / humid / sultry@|@bruthainneach@
@swim@|@snàmh (v)@
@table / board / plank / Board of Dir.@|@bòrd  (m) bùird@
@tadpole@|@òs-losgann (m) -ainn -an@
@tail@|@earball (m)@
@tailor@|@taillear (m) -eir -an@
@take / hold@|@gabhar (fut pass ~gabh)@
@taking / seizing / grasping / snatching / catching@|@glachadh (m) -aidh@
@talent@|@tàlant (m)@
@talk about / discuss / go on about@|@bi a-mach air@
@talker / cracker / knocker@|@cnacair (m)@
@tall / chief / high / great / loud / superior@|@àrd / àraide (adj)@
@tape cassette@|@cèiseag (f) -eige -an@
@taste / accent@|@blas (m)@
@tattoo@|@tatù  (m) -ùthan@
@tax / tribute / oblation / homage / submission@|@cìs (f) -e -ean@
@tea@|@tì (m)@
@tea pot@|@poit-teatha  (f)@
@teacher@|@tidsear (m) -eir -an@
@teachers / teaching staff@|@luchd-teagaisg (m)@
@teaching / act of teaching / instructing@|@tegasg (m) -aisg@
@teaching / instructing / education@|@teagasg (m) -aisg@
@teacsa (f)@|@text@
@team / crew /@|@sgioba (m) -n@
@tear /  rend / cut asunder / rob / spoil / plunder@|@srac (v)/sraic /a' sracadh -an@
@tear / teardrop@|@deur (m) deò@
@tearing / rendering / rent / fissure / cutting@|@sracadh (v + n) -aidh@
@television@|@telebhisean (m)@
@telling / relating / recounting / version@|@innse (m+vn) of innis@
@temperate / moderate / sober / bashful / modest@|@stauma (adj) -aime@
@temperature@|@cuimheasachd (f)@
@tempt / allure / provoke / annoy / disturb /madden@|@buair (v) a' buaireadh@
@ten people@|@deichnear@
@tenant / sojourner / darkening /  gloomy@|@rùdhrach (m) -aich@
@text@|@teacs (f) -a -aichean@
@text-book@|@teacs-leabhar (m)@
@textual@|@teacsail (adj)@
@than / (used to compare)@|@na (conj)@
@thankful / pleased / satisfied@|@buidheach (adj) -iche@
@thanks / gratitude / obligation@|@taing (f) -e@
@that@|@gur (intro before nouns & adj)@
@that / to that end@|@gu (conj)@
@that / who / which is@|@as (rel form of ass v) a + is@
@that / yonder@|@ud (demon. pronoun)@
@that will do@|@ni sin an gnothach (phr)@
@That's sad indeed@|@is truagh sin gu dearbh@
@the bigger of / greater@|@mòid (adj) -e / mò + de@
@the future@|@an t-àm ri teachd@
@the last time@|@an uair mu dheireadh (phr)@
@the other day@|@an latha roimhe@
@the past-tense@|@an trath-caithte@
@the rest  / the others@|@càch (indef pron) càich@
@The Sabbath@|@Sàbaid (f) -e -ean@
@The Scottish Historical Society@|@Comann Eachdraidh na h-Alba (m@
@the sea / sea / ocean@|@muir (f)@
@the summer season@|@àm an t-samhraidh@
@the sun set@|@Chaidh a' ghrian fodha (phr)@
@the teeth / set of teeth /@|@deudach (m) -aich@
@there / thither / then@|@an-sin (adv)@
@there it is / that's it@|@sin agad sin! (phr)@
@these times@|@an h-amanna seo@
@they were drunk (the drunk was on them)@|@bha an deoch orra (phr)@
@thick / not slender /@|@garbh (adj) gairbh@
@thick / not slender / dense@|@tighe (adj)@
@thief / robber / rebel@|@mèirleach (m) -ich@
@thin / lean / narrow / slim / lanky@|@caol (adj) caoil -tean@
@thing@|@rud (m) -an / ruid@
@think@|@smaointinn (v) tich -tinn@
@think (about) / suppose / imagine / conceive@|@saoil (v) -sinn -tinn@
@thinking / considering / reflecting / meditation@|@smaoineachadh (m) -aidh@
@thinking / suppose / imagine@|@saoilsinn (f) a' saoiltinn@
@thirst@|@pathadh (m) -aidh@
@thirty@|@trihead (dec.)@
@this year@|@a' bhliadhna seo, am bliadhna@
@thong / strap / lace / leash@|@iall (f) -an èill@
@though / although@|@ged (conj)@
@though / however / no matter how (before adj)@|@ge (conj) see ged@
@thought / cogitation /notion / reflection@|@smaoin (f) -e -tean (smuain)@
@thousand / mile@|@mìle / mìltean (f)@
@three people@|@triùir@
@throne@|@cathair-rìoghail (f) -thrach@
@through / by@|@trìd (prep + gen)@
@through / by means of@|@tre (prep)@
@through / by means of /@|@trò (m)@
@through / throughout / among / during@|@air fad (prep)@
@through me@|@troimham (prep proun) of (tro)@
@through my / through their@|@trom (aug prep)@
@through you@|@tromhad (prep proun)@
@throughout@|@air feadh (compound prep)@
@throw@|@tilg (v)@
@thrush / mavis@|@smeòrach (f) -aich -aichean@
@Thursday@|@Diardaoin (m)@
@ticket@|@ticead (f) /tiocaid e -ean@
@tie / unite / connect / bind / link@|@ceangal (adj) -ail@
@tied up / connected / united / married@|@ceangailte (adj)@
@till@|@ach am / an (adv)@
@time@|@tìde / tìdeachan (f)@
@time / occasion / era / season@|@àm (m) /amannan -a@
@time / proper or fit time / season@|@mithich (f)@
@timekeeper / clock / observer of seasons@|@tràthadair (m) -ean@
@times /@|@amannan (plr) of àm@
@tingling sound / report / noise@|@glaoim (f) glaomadh@
@tinker / smith / brazier / mechanic@|@ceàird (m) ciùird (pl) ceàrdan@
@to /  in order to {that} / before / until@|@gus (prep +conj)@
@to / against / towards / unto@|@ri  (prep)  + dat@
@to / for the / their@|@dhan (aug prep)@
@to / til / until / unto@|@gu (prep +) / gus@
@to her@|@thuice (gu+her) -se@
@to her / to it@|@rithe  (prep pron)  riutese@
@to him@|@thuige (gu+he) -san@
@to him / to it / to the@|@ris  (prep pron)  ris-san@
@to me@|@rium  (prep pron)  riumsa, thugam (gu+mi) -sa@
@to the face@|@as an aghaidh (adv)@
@to the point@|@chun a' ghnothaich@
@to their / to the@|@gu 'm (gu + an), gu 'n (gu + an)@
@to them@|@riutha  (prep pron)  riuthsan, thuca (gu+they) -san@
@to us@|@ruinn (prep pron)  ruinne, thugainn (gu+we) -e@
@to you@|@riut  (prep pron)  riutsa, thugad (gu+you) -sa@
@to you  (plr)@|@riubh  (prep pron)  riubhse@
@to you (plr)@|@thugaibh (gu+you plr) -se@
@toad / frog / wretch@|@losgann (f/m) -ainn -an@
@toast (proposal of health)@|@deoch-shlàinte (m)@
@tobacco@|@tombaca (m)@
@together / along with / simultaneously@|@còmhla (adv)@
@together / cement / compose / consrtuct / join@|@rì chèile@
@tomorrow / next day@|@màireach (m) a-@
@tonight / this evening /@|@a-noch (m) -oich@
@too / very@|@ro (adv +len)@
@too much@|@thar na còrach@
@tool / instrument / medicine / stuff / assortment@|@cungaidh (f) -ean@
@tooth / ivory@|@deud (m)@
@toothache@|@dèideadh (m) -idh@
@top / crest / summit / height / peak / lid / roof@|@mullach  (m) -aich -aichean@
@torn / spoiled / robbed@|@sracta (pt) of srac@
@towards@|@a dh'ionnsaidh (compound prep)@
@tower / fortification / turret / fort@|@tùr (m) -ùir@
@toy / pebble@|@dèideag (f)  -eig -an@
@trade / business / office / duty@|@dreuchd (f)@
@trade / profession / occupation / art / skill@|@ceàird (f) -e -ean@
@trailing / dragging / drawing / pulling@|@slaodach (adv) -aiche@
@train (railway)@|@trèan (f) -adh -aichean@
@tranquil / peaceful@|@sàmhchaireach (adj) -aiche@
@translating / translation@|@eadar-theangachadh (m) -gaich@
@translator@|@eadar-theangair (m)@
@trap@|@inneal-glacaidh (m)@
@travel / journey / stroll / roam / move / traverse@|@siubhal (m) -ail@
@travel agency / center@|@ionad-siubhail@
@travelling@|@luchd-falbhainn (m)@
@treasure / hoard@|@tasgaidh (f) -e -ean@
@tree@|@craobh (f) -oibhe -an@
@trial / hardship / attempt / endeavour / essay@|@deuchainn (f) -e -ean@
@tribe / people / folk / family / company / band@|@dream (m)@
@tribute / fine / tax / toll@|@càin (f) cànach / càine -tean@
@trifling /@|@leasach (adj) -aiche@
@trout / salmon@|@breac (m) brice -ean@
@truly / actually  indeed  seriously / certainly@|@rìreadh (adv) a-rìreadh@
@truth /verity / faithfulness / righteousness@|@fìrinn (f) -ean@
@try / test / attempt / feel / prove / taste@|@feuch (v) -ainn -(ai) or (ri)@
@trying / seeing / disclosing / attempting / trial@|@feuchainn (f)@
@Tuesday@|@Dimàirt (m)@
@turn off@|@cuir dheth (v) cur dheth@
@turn on@|@cuir air (v) cur air@
@tusk@|@sgor-fhiacail (f)@
@two (only of persons)@|@dithis (adj)@
@type / like / such / the like@|@leithid (f) -e -ean ( de rud)@
@ugly@|@grànnda (adj) gràinnde@
@umbrella@|@sgàil-uisge (f) -ean, sgàilean-uisge (m)@
@un- / dis- / etc@|@eu- (pref)@
@under@|@fon (+ an (sing. dat)@
@under consideration / observation  / awareness@|@fa-near (adv) from {fo'n aire}@
@under her / under it@|@foipe (fo + i)@
@under him / under it@|@fodha (fo + e) -san@
@under me@|@fodham (fo + mi) -sa@
@under them@|@fopa / fodhpa (fo + iad) -asan@
@under us@|@fodhainn (fo + sinn ) -e@
@under you@|@fodhad (fo + thu)@
@under you (plr) (polite)@|@fodhaibh (fo + sibh) -se@
@understand / assume / descern / comprehend@|@tuig (v) a' tuigsinn@
@understood  {will be}@|@tuigear (fut of tuig )@
@unfortunate@|@mì-fhortanach (a)@
@unfriendly@|@eu-càirdeil (adj)@
@unhappy@|@mì-shona (conj)@
@university@|@oilthigh (m) -ean@
@unless / if not@|@mur (conj) / mura@
@unpleasant / distasteful@|@mì-chàilear (adj)@
@unthankful / ungrateful / not easily pleased@|@mi-thaingeil (adj) -e@
@unthankfully@|@gu mi-thaingeil (adj)@
@until / to / towards / unto@|@chun (prep +) variation {gu}@
@unusual@|@neo-àbhaisteach (adj)@
@unwearied / unfatigued / willing@|@neo-sgìth (adj)@
@up / upwards@|@suas  (adv)@
@used (f) nouns beginning with b/ m/ p/ c/ & g@|@a' (def art)@
@usual / habit / customary /@|@àbhaisteach (adj) -tiche@
@vacation / holidays@|@saor-làithean (m) plr@
@value estimation@|@tach (m)@
@van / vehicle@|@bhan (f) -aichean@
@veal@|@laoigh-fheòil (f)@
@vegetable@|@luiseanachd (f)@
@vein / sinew / muscle@|@fèith (f) -e -ean@
@venison@|@féidh-fheiol (f)@
@very / actual / pure / authentic@|@fìor (adv)@
@very / extremely / true / perfect / ideal@|@sàr (adj) precedes & lenites@
@very / same@|@ceudna (adj) preceded by 'an'@
@very great@|@gu ro mhór (phr)@
@vessel / dish /@|@soitheach (m) -ich -ichean@
@video@|@bhidio (m) -othan@
@view / sight / show / vision / spectacle@|@sealladh (m) -aidh -aidean@
@vineyard@|@fion-lios (m) -an, garradh-fìona (m)@
@visible / clear / plain / obvious / evident@|@lèir (adj)@
@visit / ceilidh / sojourning / pilgrimage@|@céilidh (f) -ean@
@visual arts@|@ealdhainean lèirsinneach (pl)@
@vital spark (West coast of Ross)@|@ràbhadh (m) -aidh@
@voice / word / mention@|@guth (m)@
@volunteer@|@saor-thoileach (m) -ich@
@vote@|@bhòt (f) -aichean@
@wage / salary / hire / stipend@|@tuarastal (m) -ail -an@
@wages / reward / fee / hire / salary / stipend@|@tuarastal (m) -ail -an@
@wait a minute@|@fuirich mionaid (phr)@
@waiting /  remaining / staying / attending@|@feitheamh (vn)@
@waiting / remaining / staying /  attending@|@a' fèitheamh (pr pt)@
@waiting for@|@air chionn (prep)@
@waken / arouse / raise / rouse@|@dùisg (v) dùsgadh@
@walk@|@coisich  (v)  coiseachd@
@walker / pedestrian@|@coisiche  (m)@
@wall / bulwark / shield@|@balla (m) -achan@
@wand / yard-measure / measurement@|@slat-thomhais (f)@
@wandering / going astray / transgression@|@seachran (m) -ain -an@
@want / deficiency@|@iùnais (f)@
@want / request / seek@|@iarr (v) -aidh@
@war / warfare / fighting@|@cogadh (m) -aidh -aidhean, cognadh (m) -aidh -aidhean@
@wares / merchandise / goods / whisky@|@bathar (m) -air@
@warm / heat / kindliness/ affectionate disposition@|@blàths (adj) -aiths@
@warm / warm-hearted / pleasant / kind@|@blàth (a) -aithe@
@warning / alarm / hue / cry / advice / caution@|@rabhadh  (m) -aidh@
@was seen@|@chunnacas (pst aff.) faic@
@wash / cleanse / bathe / purify@|@nigh (v) -e a' nigheadh@
@watch / clock / timepiece@|@uaireadair (m)@
@watch / observe / be vigilant@|@deàrrsaich (adj) a' dearrsaich@
@waulk / waulking / fulling / fuller /@|@luadh (m) -ach -adh -adair@
@wave@|@tonn (m) -an / tuinne@
@way / manner / apearance / likeness@|@ludh (m)@
@we / us@|@sinn (prep pron) -e@
@We are proud of you@|@Tha sinn pròiseil asad (phr)@
@wealthy / rich@|@beartach (adj) -aidh@
@weary / oppress / exhaust / fatigue@|@claoidh (v) -eadh@
@weary / tired / fatigued / labourous /@|@sgìth (adj) -e@
@weather / time / era@|@aimsir (f) -e -ean@
@weather {rough} / storm / blast / elements@|@sian (f) sìne / siantan@
@weaver / one who kicks@|@breabadair (m) -ean@
@weaving / knitting@|@figheadh (m) -idh / a' fighead@
@website@|@làrach-lìn (f)@
@wedding / nupitals@|@banais (f) -nse -nsean@
@wedding anniversary@|@fèill-bhliadhnail (f)@
@wedding ring@|@fàinne-pòsaidh (m)@
@Wednesday@|@Diciadain (m)@
@week@|@seachdain (f) -e -ean@
@weekend@|@ceann-seachdain (m), deireadh-seachdainn (m)@
@weep / deplore / wail@|@caoin (f) a' caoineadh@
@well@|@uill (interj)@
@well / spring / fountain@|@fuaran (m) -ain -an@
@well done yourself!@|@sin thu fhein! (phr)@
@went@|@chaidh (irr. v) rach@
@west@|@siar (adj)@
@wet one's whistle@|@fliuch do shlugan (v phr)@
@whack / drivel / saliva / snot / thump / slap@|@sgleog (f) -oig -an@
@what / all that /@|@na (rel)@
@what a funny fellow you are@|@is éibhinn an gille thu ...@
@what did you say?@|@dè thuirt thu? (phr)@
@what does that mean?@|@dè tha sin a’ ciallachadh? (ph@
@what is the use of it?@|@Dé is feum dha? (phr)@
@what?@|@ciod (interr), dé (int pron)@
@whatever / whatever / at least / at any rate@|@co-dhiù (adv)@
@whatever / whatsoever@|@as bith (oron)@
@wheelchair@|@cathair-cuibhle (f)@
@when / at what time@|@cuin (interr pron) -e@
@when / while / as / seeing that@|@nuair (conj)@
@when you want to ...@|@nuair a thogras tu ...(phr)@
@where / wherein@|@far (conj / rel pron)@
@which@|@creud (interr)@
@Which is correct?@|@Cò aca tha ceart? (interr.phr)@
@which?@|@cia (interr)@
@while@|@fhads (conj)@
@while / spell (greis)/ distance of place@|@treis (f) -e@
@whisper / advice / notice / knowledge / etymology@|@sanas (m) -ais -an@
@who / which / that@|@a (rel pron), mar (rel pronoun)@
@who?@|@có (interr)@
@wholesale@|@slàn-reic (f)@
@why@|@carson (adv)@
@wide valley / vale / valley@|@srath  (m)  -a  -an@
@widow / widower@|@banntrach (f) -aic -aichean@
@wife / matron / woman@|@bean (f) / mnatha / mnaol@
@wild / untamed / savage@|@fiadhaich (adj) -e@
@wild / untamed / savage / sour@|@fiadhain (adj) -e@
@will be@|@bidh (irreg v)@
@will happen / befall / meet@|@tàrladh (fut-v) -aidh@
@will see / can see@|@chì (irr v) see faic@
@willing / spontaneous / agreeable / granting@|@deònach (adj) -aich@
@willing / voluntary / desirous / glad@|@toileach (adj) -eiche@
@willingly@|@a dheòin@
@will-power@|@neart-toil@
@win / achieve / gain / profit@|@buidhinn (f)@
@wind@|@bad (f)@
@wind / flatulence@|@gaoth (f) -aoithe -ean@
@window@|@uinneag (f) -eige -an, uiread (m)@
@windy /  stormy / blowing loudly@|@àrd-ghaothach (adj) -aiche@
@winter@|@geamhradh (m) -idh -achadh@
@wish / hope@|@dùraig (v) -eadh@
@wishing / desire / inclination@|@togradh (m+vn) -aidh -aidhean@
@wishing for / desirous@|@an geall (adv)@
@wishing well / beseeching / praying / wish@|@guidhe (m) -achan@
@witch / sorceress@|@bana-buidhseach (f)@
@with / in company with / by / by means of@|@le  (prep)@
@with every good wish/intention@|@leis gach deagh dhùrachd (phr)@
@with her@|@leatha  (prep pron)@
@with him / with it@|@leis (prep pron)  leis-san@
@with me@|@leam  (prep pron)  leamsa@
@with them (aka - leotha)@|@leò   (prep pron)  le@
@with us@|@leinn  (prep pron)  leinnse@
@with you@|@leat   (prep pron)  leatsa@
@with you  (plr)@|@leibh  (prep pron)@
@within  / inside@|@am broinn (prep)@
@without@|@às aonais (prep), às eugmhais (prep), gun a bhith (phr)@
@without / want / lack / deficiency / need@|@dhìth (adj) -e@
@wizard@|@buidsear  (m)@
@wonder / surprise / astonishment / miracle@|@iongantas (m) -ais -an@
@wood / timber@|@fiodh  (m) -a@
@woodwind instrument@|@gaoth-ionnstramaid (f)@
@wordy / verbose / talkative / loquacious@|@briathrach (adj) -aiche@
@work / actitivity / job / labour / profession@|@obair (f) /obrach -aichean@
@work force / labourers@|@luchd-obrach (m)@
@working@|@obrach (a+gen sing obair)@
@workshop@|@bùth-obrach (m/f)@
@world / life / span@|@saoghal (m) -ail -an@
@worry / annoyance / bother / trouble /@|@dragh (m) -a@
@worse@|@miosa (v)@
@worth / wothy / estimable@|@fiù (m)@
@worthless / trivial / trash@|@gun fiù@
@worthy / deserving / entitled (to)@|@àiridh (adj) -e@
@would /would I /... you / ... etc@|@b' àill (bu àill) /leam /leat@
@would be said@|@theirtheadh (pst sub of abair)@
@would get@|@gheibheadh (2nd/3rd sing)faigh@
@woven / twisted  twined / wreathed@|@fighte (pt pt) of figh@
@wringing / squeezing / pressing@|@fàsgadh (m) -aidh@
@wrinkle / plait / old man@|@rug (m) -a -uig -annan@
@wrong / awkward / unlucky /@|@cearr (adj) -a / ciorra@
@wrongful@|@eucoireach   (adj)@
@yarrow  (achillea millefolium)@|@cathair-thalanda (f)@
@year-old calf / young bullock / yearling deer@|@gamhainn (m) -aimhne -amhna@
@yellow colour@|@buidhe (m)@
@yes@|@tha mi gl'e beachdaidh (phr)@
@yet / nevertheless / though / although@|@gidheadh (conj)@
@yet / still@|@fhathast (conj)@
@yon / that / there@|@siud (dem pron)@
@you are quite useless@|@is beag feum a tha ort (phr)@
@you needn't bother@|@cha leig thu leas@
@you’re welcome@|@’s e do bheatha (phr)@
@young / youthful@|@òg (a) òige@
@young fellow / boy /@|@balach  (m) -aich@
@your (+ n- before vowel)@|@'ur (contraction) / bhur, bhur (poss.adj) / 'ur@
@you're welcome@|@'s e do bheatha@
@youth / youngster@|@òganach (m) -aich@
@youthful / young@|@ògail (adj) -e@
@zero / nothing / naught / nil /@|@neoni (f)@

