@English@|@Scottish Gaelic@
@best@|@rogha (m)@
@betray / decieve / spy / inform@|@brath (v) a'brathadh@
@better / more fitting@|@càra (comp form of còir)@
@big / ample / bulky / grand / large / strapping@|@mór (m) motha@
@bigger picture@|@dealbh nas motha (phr)@
@billiards / pool@|@bòrd-chluich (m)@
@biography@|@beò-eachdraidh (f)@
@bird / fowl@|@eun (m) eòin@
@biscuit@|@briosgaid (f) -e -ean@
@bison@|@bó alluidh (f)@
@bit / fragment / piece / particle /@|@mìr (m) -e -ean@
@bit / morsal / piece / splinter / crust@|@crioman (m) -ain -an@
@black@|@dorch (adj) / dorcha@
@black / inky / profound (heavy)@|@dubh (adj) -e@
@blame / default / transgression / guilt / sin@|@ciont (m) -a@
@blamy / calm / delicate / soft / lukewarm@|@tlàth (adj) tlàithe@
@blast / destroy / demolish@|@sgrios (v)  -a -an@
@blessing / farewell / greeting / goodbye /@|@beannachd (f) -an@
@blethering / chatter / prattle@|@cabadaich (f)@
@blindman@|@dall (m) doill@
@blow / pant / puff / inflate / swell by flattery@|@séid (v) -idh@
@blowing / inflating / etc@|@séideadh (m+vn) -idh@
@blown / puffed / inflated@|@séidte (prep pst) -eadh@
@blue / verdant@|@gorm (a) guirme@
@bluster / menace / threaten@|@bagair (v) -airt / bagradh@
@boar@|@torc (m), tuirc (plr) torc@
@board / table [chart] / record / CD / list@|@clàr (m) -àir@
@boat / barge / craft (ship) /@|@bàta (m)@
@body / corpse@|@corp (m) cuirp@
@bog / fen / marsh / level plain@|@currach (m) -aich -an@
@bog / fen / marsh / quagmire@|@fèithe (f) -eachean@
@boil / seethe@|@goil (v)@
@bold / adventurous / intrepid / presumptuous@|@dàna (adj)@
@bold / daring / impudent / shameless / loquacious@|@ladarna (adj) -airne@
@bone@|@cnàimh (m)@
@bonny / beautious / lovely / comely@|@maiseach (adj) -siche@
@book / volume@|@leabhar (m)-air / leabhrachan@
@border / extremity / limit / rim / verge@|@iomall (m) -aill -an@
@born@|@rugadh (pst tns ~ beir)@
@borrower@|@fear gabhail iasaid@
@both / each other / together / one another@|@chèile (adv / indef pron)@
@both / soup@|@brot (m) -a@
@bottle@|@botal (m) -ail@
@bound / spring / jump / leap / skip / prance@|@sùrdag (f) -aige -an@
@box@|@bogsa (m) -ichean@
@boxing@|@bogsadh (m) bocasadh -aidh@
@branch / bough@|@geug (f) -an / gèige@
@bravery / confidence / courage / fortitude /moral@|@misneachd (f)@
@brawl / quarrel / fight / fray / row@|@sabaid (f) -e -ean@
@break / smash / fracture / exclaim@|@bris(t) (v) -eadh@
@breath / pause / rest / wind / respite@|@anail (f) analach / anailean@
@breeding / teaching / lore / nuture / training@|@oilean (m) -ein@
@brewer / distiller@|@grùdair (m) -aire@
@brewery@|@taigh-grùide (m)@
@brewing@|@grùdaireachd (f)@
@bridge@|@drochaid  (f)@
@brief / brusque / short@|@goirid (f) / giorra@
@brightness/ radiance / shining / glare / shine@|@deàrrsadh (m/vn) -aidh@
@broken / bankrupt / insolvent@|@briste (adj)@
@brother@|@bràthair  (m) bràthar -ean@
@brown / brown-coloured / brunette / russet@|@donn (adj) duinne@
@brown / make brown@|@donn (v) -adh@
@brutal / violent / creul / brutish@|@brùideil (adj) -e@
@bu mhi / tu / etc.  it was I / you / etc@|@bu (IND pst tnse of 'is')@
@bucket / pail / churn@|@cuinneag (f) -eige@
@building / construction / edifice / erection@|@togalach   (m) -aich  -aichean@
@bun@|@buna (m) -aichean@
@burden / encumber / load@|@luchaich (v) -achadh@
@burn@|@losgadh  (m)@
@burn / brand / cremate / sear@|@loisg  (v) losgadh@
@burnt@|@loisgte (adj) -eadh -adh@
@bury / inter@|@tiodhlaic (v) tiodhlacadh@
@busy / busier@|@trang (adj) / traing / trainge@
@but (after neg.) only@|@ach (conj)@
@but this won't do@|@ach cha dèan seo an gnothach@
@butcher@|@bùidsear  (m)@
@butterfly@|@dearbadan-dé (m) -ain@
@button / toggle@|@putan (m) -ain -an@
@by a great deal / more / a lot@|@móran (adv)@
@by now@|@roimhe seo (adv)@
@cabbage@|@càl (m)@
@Caithness@|@Gallaibh@
@cake@|@cèic (f) -e -ean@
@calf@|@laogh (m) laoigh@
@calf-skin@|@miniceann-laoigh (m)@
@call / cry / shout@|@éigh (f) / éibh -e -eachan@
@call / shout@|@glaodh (v) -ach -aich@
@call / visit / haunt@|@tadhail (pres part)@
@calligraphy@|@ealdhain-sgrìobhaidh (f), grinn-sgrìobhadh (m)@
@calling / visiting / frequenting / resort@|@tadhal (m) -ail -aichean@
@calm / gentle / mild / peaceful / serene / soft@|@ciuin (adj) -e -a' ciùineadh@
@came@|@thàinig (pst) thig@
@candle@|@coinneal (m) / coinnle -an@
@capable of / able to@|@mòrach (adj)@
@Capital letter@|@ceann-litir (f) ceaun-litreach, ceann-litreachan (f)@
@capture / captivate / take prisoner@|@beò-ghlac (v) -adh@
@car / automobile@|@càr (m) -àir -aichean@
@care / attention / power / neatness / decency@|@sgoinn (f) -e@
@care / worry / trust / anxiety / responsibility@|@cùram (m) -aim -an@
@careful / attentive / neat / tidy / decent@|@sgoinneil (adj) -e@
@careful / responsible / anxious@|@cùramach  (adj)  -aiche@
@careless / immateral / uncaring / indifferent@|@coma (adj)@
@cargo / freight / load@|@luchd (m) -a -an@
@carpenter / cabinet maker@|@saor (m)@
@carried / changed / altered / wielded@|@imrichte (pt pt of imrich)@
@carrot@|@curran (m) -ain@
@carry / bear / remove / change / alter@|@imrich (v) ag imrich /ag -d@
@carry / transport / bear / act / behave /@|@giùlain (v) giùlan@
@carry on / din / fuss / commotion / confusion@|@ùpraid (f) -e -ean@
@carry on you@|@cum ort@
@cartoon@|@cartùn / dealbh-èibhinn (m)@
@castle@|@caisteal (m) -eil -an@
@catholic / general / public / universal / standard@|@coitcheann (adj) -a@
@cause / reason / subject / matter@|@adhbhar (m) -air -airean@
@cavern / hole / sponge / recess / den@|@còs (m)@
@CD / compact disc@|@clàr-cruinne (m)@
@cease / nonsense@|@Tog dheth!@
@celery@|@lis na smàileag (m), seilearaidh (m)@
@centimeter@|@ciadameatair (m) -ean@
@centre / middle joint@|@ceart-làr (m)@
@certain / particular / special / proper  expedient@|@àraidh (adj)@
@certain / specfic / notable / particular /positive@|@sonraichte (adj)@
@certain / sure / observant / watchful / meditative@|@beachdaidh (adj) /beachdail@
@chair / bench / throne / town / city@|@cathair (f) -rach -raichean@
@chairlift / elevator / lift@|@àrdaichear (m)@
@challenge / problem /@|@dùbhlan (m) -ain -an@
@chamber / room@|@seòmar (m) -air -mraichean@
@chance / oppourtunity / catch / access@|@cothrom (m) -uim -an@
@change / alteration / modification / conversion@|@atharraich / atharrachadh (v)@
@change / exchange@|@iomlaid (f) -e -ean@
@changing / change / death / decrease@|@caochladh (m) -aidh - aidhean@
@chapter@|@cabideal (m) -il -ean, caibideil (m) -il -ean@
@character (person)@|@caractar (m)@
@charity@|@carthannachd (f)@
@cheerer / inciter / encourager / abettor@|@brosnachair (m)@
@cherry@|@siris (f) -ean / sirist@
@Chief of clan or tribe@|@toiseach (m) -ich -ichean@
@child / infant / baby@|@pàist (m+f) -e -ean@
@children / progeny@|@clann (f) / cloinne@
@chip / carve / hew / whittle / sculpt / -ing@|@snaigh (m) -eadh@
@chip / split@|@sgealb (v) -adh@
@chisel@|@sgeilb (f) -e -ean@
@choice / option / preference / selection /choosing@|@roghainn (m/f) -ean@
@choose / elect / select / pick@|@tagh (pr pt) a' taghadh (v)@
@chosen / choice / select / elect@|@taghta (adj+ of tagh)@
@cinema@|@taigh-dhealbh (m)@
@circle  / hoop / ring / zone / gyre@|@cearcall  (m) -aill@
@circle / trip / circuit / cicumference / zone@|@cuairt (f) -e -ean@
@claim / maintain@|@cùm a-mach@
@clan / kin / kindrid / nation / race / surname@|@cinneadh (m) -idh -idhean@
@class (course@|@clas (m) -aichean@
@claw / club-foot / paw /@|@spàg (f)@
@clay / dust / body / being@|@crèadh (f) /crè /criadh -a@
@clean / pure / fine / grand / bright@|@glan (v) -aine@
@clean sweep /@|@lom-sgrios (m)  -sguabadh@
@clear / bright@|@soilleir (adj)  -e@
@cleft / fissure / gash / rift@|@sgor (m) -oir -an@
@clever / brave / heroic / active / hardy@|@tapaidh (adj) -e@
@climbing / ascending@|@dìreadh (m+vn) -idh (dìrich)@
@climbing / scaling / strife / labouring /struggle@|@streapadh (m) -aidh@
@clink / tinkling / motion / tick@|@gliog (m) -a -an@
@clip / crop / cut / detruncate / shave / shear@|@beàrr (v) bearradh@
@clipping / cutting / cropping / shaving / shearing@|@bearradh (m+vn)-aidh - aidhean@
@clock@|@gleoc (m) -a -an@
@clockwork@|@obair-uaireadair (f)@
@close / shut@|@dùin (v) dùnadh@
@cloth / tweed / press (prnt) / print / type@|@clò (m) -tha -thean -itean@
@clothes@|@aodach (m)@
@cloud@|@riolainn (f) -e -ean, sgòth (f)@
@cloud / cloudy@|@sgòth (f) -ach -achan@
@cloud / hue@|@neul / neòil (m)@
@cloud / hue / faint@|@neul (m) neòil@
@cloudy@|@roilinneach (adj), sgòthach (adj)@
@clutch / hold / custody / grasp / gripe@|@greim (m) -e -eannan@
@cock / cockeral@|@coileach (m) -ich@
@cogent / strong / robust / stalwart / substantial@|@làidir (adj) -e@
@coil / halo / reel@|@cuibhle (f)@
@cold / coldness@|@fuachd (m)@
@college@|@colaiste (f)@
@colour@|@dath (m)@
@colour / hue / tincture@|@lì (f) / lìthe / lìthean@
@column / pillar / reed / stalk / sceptre@|@colbh (m) /cuilbh -an@
@comb / cud / jaw@|@cìr  (f) -e -ean@
@come / come along with me / come to me@|@trobhad (thig+you)@
@come here@|@thigibh an-seo! (sing) w/ tu@
@come now! / now! now! / tut! tut!@|@ud! ud! (interj)@
@comedy@|@comadaidh (m) -ean@
@comfort@|@cofhurtachd (f)@
@comfort / joy / light / delight@|@sòlas (m)@
@comfortable@|@cofhurtail (adj) -e@
@comfortable /@|@comh-fhurtachail (adj) -e@
@comfortable / cosy / secure / snug@|@seasgair (adj) -ar -e@
@comfortable / easily / accomplished@|@cothromach (a) aiche@
@comfortably@|@gu cothromach@
@coming / arrival@|@teachd (m)@
@coming / arriving@|@tighinn (irr v) see thig@
@commander / chief / head / leader /principal /bos@|@ceannard (m) -aird - an@
@comment / word / remark / phrase@|@facal (m) -ail / faclan@
@commitment / eagerness / warmth / zeal@|@dealas (m) -ais@
@commoner@|@ìslean (m)@
@company / firm@|@companaidh (f) e -ean@
@competition@|@co-fharpais (f)@
@complainer / mourner / wailer@|@acainear (m) -ir@
@complaining / grumble / moaning@|@gearan (m) -ain -an@
@complaint / accusation / grumbling@|@casaid (f) -e -ean@
@computer@|@coimpiutair (m) -air -an@
@computing@|@coimpiutaireachd (f)@
@conceal / hide / veil@|@ceil (v) ceiltinn@
@concealment / secrecy / residence / waulking board@|@cleith (f) -e -ean@
@concerning  her@|@m' a déidhinn (phr)@
@concerning him@|@m' a dhéidhinn (prep)@
@concerning them@|@m' an déidhinn (phr)@
@concerning this@|@mu mo dhéidhinn (phr)@
@concerning us@|@m' ar déidhinn (phr)@
@concerning you (plr/frml)@|@m' ur déidhinn (phr)@
@concert@|@cuirm-chùil (f)@
@confess@|@dh' aidich (past aff)@
@confess / admit / acknowledge / registration@|@aidich (v) -eachadh@
@confess / own / acknowledge / admit@|@aidich (v) ag aideachadh@
@confidence / hope / trust / reliance@|@earbsa (f)@
@congratulations (sing / plr)@|@meal do/ ur naidheachd@
@conquer / success / victory@|@buaidh (v) -e -ean -dheanan@
@conservationists@|@luchd-glèidhteachais (m)@
@conserve /  deposit / hoard / stow / treasure@|@taisg (f) tasgadh@
