@beat@|@huffe@
@beautiful@|@moai@
@because@|@mei't, meidat, om't, omdat@
@become@|@wurde@
@bed@|@bêd@
@bedekke@|@cover@
@bedroom@|@sliepkeamer@
@bee@|@bij@
@beech@|@boek, boekebeam@
@beef@|@kowefleis@
@beefsteak@|@byf@
@beehive@|@bijekoer@
@bee-keeper@|@bijker, ymker@
@bee-master@|@bijker, ymker@
@beer@|@bier@
@beet@|@byt@
@beetle@|@krobbe, tuorre@
@before@|@ear't, foar, foar't@
@beg@|@biddelje, fersykje@
@beggar@|@bidler@
@begging@|@bidlerij@
@begin@|@begjinne, oanbrekke, oanfange, oangean, oanpakke@
@beginner@|@begjinner@
@beginning@|@begjin, oanfang@
@behind@|@benefter, efter, efteryn@
@behind one's back@|@efterbaks@
@bekoartsje@|@curtail@
@Belgian@|@Belgysk, Bels@
@belief@|@leauwe@
@belive@|@leauwe@
@belly@|@liif@
@below@|@ûnder@
@belt@|@gurdle, mulbân@
@bend@|@ferbûge@
@beneath@|@ûnder@
@benefit@|@foardiel@
@berekkenje@|@count@
@bern@|@bairn@
@berry@|@bei@
@beside@|@by, nêst, njonken@
@besides@|@behalven, fierders@
@besiege@|@belegerje@
@besiferje@|@count (1)@
@best@|@best@
@bet@|@wedzje@
@betray@|@ferriede@
@betrayal@|@ferried@
@better@|@better@
@between@|@tusken@
@beverage@|@drank@
@bewend@|@customary@
@bewitch@|@toverje@
@beyond@|@dwers@
@Bible@|@Bibel@
@bicycle@|@fyts@
@bid@|@fersykje@
@bide@|@ôfwachtsje@
@big@|@grut@
@bike@|@fyts@
@bile@|@galle@
@bill@|@biljet@
@bill-board@|@oanplakboerd@
@billiards@|@biljert@
@bind@|@ferbine@
@binocular/s@|@fierrekiker@
@biologist@|@biolooch@
@birch@|@bjirk@
@bird@|@fûgel@
@birth@|@berte@
@birthday@|@jierdei@
@bishop@|@biskop@
@bite@|@bite, byt@
@black@|@swart@
@blackberry@|@toarnbei@
@blackbird@|@swarte lyster@
@bladder@|@bonge@
@blame@|@beskuldigje, ferwite, skuld@
@blank@|@wyt@
@blanket@|@tekken@
@blaspheme@|@flokke@
@blasphemy@|@flok@
@bleak@|@donker, kâld@
@bleed@|@bliede@
@blidness@|@blinens@
@blind@|@bline, blyn@
@blood@|@bloed@
@blood-relationship@|@sibskip@
@bloom@|@blom@
@blotter@|@floeipapier@
@blotting paper@|@floeipapier@
@blouse@|@bloeske@
@blow@|@blaze, slach@
@blue@|@blau@
@blueberry@|@blebberbei@
@blunt@|@stomp@
@blushing@|@read@
@board@|@planke@
@boat@|@boat@
@bodily@|@lichaamlik@
@body@|@lea, lichem, liif@
@boerelân@|@country, countryside@
@boil@|@siede@
@bold@|@tsjok@
@bolt@|@ôfskoattelje@
@bondwoman@|@slavinne@
@bone@|@bien, bonke@
@book@|@boek, oanfreegje@
@bookcase@|@boekekast@
@book-keeper@|@boekhâlder@
@bookseller@|@boekferkeaper, boekhanneler@
@book-shop/store@|@boekwinkel@
@boot@|@lears@
@bore@|@boar@
@borrow@|@liene@
@boss@|@baas, haad, lieder, master, oanfieder, sjef@
@bossom@|@boarst@
@both@|@allebeide, beide@
@bottle@|@flesse, ôftaapje@
@bottom@|@boaiem@
@bough@|@takke, tûke@
@boundary@|@grins@
@bourgeoisie@|@boargerij@
@boutique@|@winkel@
@bovine@|@kobist@
@bow@|@bôge@
@box@|@bak, bokse, doaze, kiste@
@boy@|@betsjinder, boai, feint, jonge@
@bra@|@boarststipe@
@bracelet@|@earmbân@
@brain@|@brein, harsens@
@brake@|@remme@
@branch@|@takke, tûke@
@brand@|@brânmerk@
@brandy@|@brandewyn, konjak@
@brave@|@manhaftich, moedich@
@bread@|@bôle, brea@
@bread and butter@|@brogge@
@break@|@brekke, ferbrekke, ôfbrekke, ôfrjochtsje@
@break down@|@oergean@
@breakable@|@brekber@
@breakfast@|@brea-iten, moarnsiten@
@breast@|@boarst@
@breath@|@sike@
@breathe@|@sykhelje@
@breathless@|@efter de pûst, út 'e liken@
@breed@|@skaai@
@brick@|@bakstien@
@bride@|@breid@
@bridegroom@|@breugeman@
@bridge@|@brêge@
@brief@|@koart@
@briefcase@|@aktetas@
@bright@|@ljocht@
@brimming@|@oerfol@
@brimstone@|@swevel@
@bring@|@oandrage, tatôgje@
@Britain@|@Grut-Brittanje@
@British@|@Britsk@
@brittle@|@brekber@
@broad@|@breed, wiid@
@broker@|@makelder@
@bronze@|@brûns, brûnzen@
@broom@|@biezem@
@brothel@|@huorrehûs@
@brother@|@broer@
@brothers and sisters@|@bruorren@
@brow@|@wynbrau@
@brown@|@brún@
@brownie@|@ierdmantsje@
@bruise@|@gnidzje@
@brûkme@|@custom@
@brush@|@boarstel, boarstelje@
@bubble@|@bonge@
@bucket@|@amer@
@buckle@|@gasp@
@buddy@|@kammeraat@
@budget@|@budzjet@
@buffalo@|@buffel@
@buffoon@|@harlekijn@
@bug@|@ôfharkje, ynsekt@
@build@|@konstruearje, mitselje@
@builder@|@boufakker@
@building@|@gebou, oanbou@
@bull@|@bolle@
@bullet@|@kûgel@
@bumblebee@|@holder@
@bump@|@buchel@
@bunch@|@bondel, bosk@
@bundle@|@bondel, bosk@
@buoy@|@beaken@
@burden@|@fracht@
@burdensome@|@swier@
@bureau@|@kantoar@
@bureaucracy@|@burokrasy@
@burglar@|@ynbrekker@
@burgomaster@|@boargemaster@
@burial@|@begraffenis, beïerdiging@
@burn@|@baarne, brâne@
@burn down@|@ferbrâne@
@burst@|@barst, barste, spjalte, splite@
@bury@|@begrave, beïerdigje, te hôf bringe@
@bus@|@bus, buso@
@bus station@|@Busstasjon@
@bush@|@strûk@
@business@|@affearen, kwestje, oangelegenheid@
@business deal@|@affearen, kwestje, oangelegenheid@
@businessman@|@sakeman@
@busy@|@beset@
@but@|@bûten, mar@
@butcher@|@slachter@
@butcher's shop@|@slachterij@
@butter@|@bûter@
@butterfly@|@flinter@
@button@|@drukkerke, drukknoop@
@buy@|@keap, oanhannelje, oankeapje, oanriede, oantuge@
@buyer@|@keaper, klant@
@by@|@by, fan, neffens, sûnt@
@by day@|@daagliks@
@by mistake@|@by fersin, troch fersin@
@by night@|@nachts@
@by now@|@al, alfêst@
@bye@|@farwol@
@byname@|@tanamme@
@by-way@|@ôfslach, sydwei@
@cabaret@|@kabaret@
@cabbage@|@koal@
@cabin@|@hutte, kajút, klinte@
@cabinet@|@kammenet@
@cactus@|@kaktus@
@cadger@|@parasyt@
@café@|@kafee@
@cafetaria@|@kafetaria@
@cage@|@koai, kouwe@
@cake@|@koeke@
@calamity@|@pleach@
@calculate@|@berekkenje, besiferje, rekkenje@
@calculation@|@berekken, besifering@
@calendar@|@kalinder@
@calf@|@keal@
@call@|@neame@
@call on@|@besykje@
@calm@|@stil@
@camel@|@kamiel@
@camera@|@fototastel@
@camp@|@kampearje@
@camp out@|@kampearje@
@can@|@blykje@
@can opener@|@blikiepener@
@canal@|@djip, kanaal@
@canary@|@kanarje@
@cancel@|@annulearje, ôfbestelle, ôfsizze, skrasse@
@candle@|@kears, kers@
@capable@|@betûft, kundich@
@capital@|@haadstêd@
@capital letter@|@haadletter@
@captain@|@kaptein@
@capture@|@fange@
