@Macedonian@|@English@
@}eramida@|@pantile@
@}erka@|@daughter@
@}erkinski@|@daughterly@
@}ese@|@bag (n)@
@}o{e@|@quoin, angle@
@}o{ence@|@nook@
@}o{lest (predmet)@|@angular@
@}or@|@blind@
@}or fi{ek@|@blank (n)@
@}or fi{ek@|@blank cartridge@
@}orsokak@|@impasse, blind alley@
@}ovte@|@faggot@
@}uskija@|@gad 1@
@~a{a@|@glass@
@~a{a alkohol@|@libation@
@~a{a polna@|@glassful@
@~a{a polna do vrv@|@bumper@
@~a{a so stolb@|@goblet@
@~a{ka (na koleno)@|@knee pan@
@~a{ka (od cve}e)@|@bell@
@~ad@|@reek@
@~adena haringa@|@bloater@
@~ador@|@umbrella@
@~ador za sonce@|@parasol@
@~aj od kamilica@|@camomile tea@
@~ajna kujna@|@pantry@
@~ajnik@|@kettle@
@~akal@|@jackal, ballast@
@~alam@|@show-off@
@~alamxija@|@show-off@
@~amec@|@boat@
@~anta@|@bag (n)@
@~apja@|@heron@
@~ar{ija@|@bazaar, shopping centre, shopping mall@
@~as@|@jiffy (col), hour@
@~asovni~arstvo@|@horology@
@~atal@|@knot, fork@
@~atalest@|@forked@
@~e{awe@|@itch@
@~e{awe@|@itchiness@
@~edo@|@babe@
@~edomorec@|@infanticide@
@~edomorstvo@|@infanticide@
@~edoubiec@|@infanticide@
@~edoubistvo@|@infanticide@
@~eiz@|@portion, bottom drawer@
@~eka@|@abide, await, cool one's heels@
@~eka da mu dojde vremeto@|@bide one's time@
@~ekalna@|@anteroom@
@~ekan@|@rammer@
@~ekan pnevmatski@|@jack hammer@
@~ekor@|@gait@
@~ekrek@|@pulley, spinning wheel, jack@
@~elo (na kolona)@|@advance (n)@
@~ep@|@ram 1, bung@
@~ep (na bure)@|@spigot@
@~ep (vo medicina)@|@suppository@
@~epka@|@peck@
@~epkawe@|@peck (n)@
@~epnuva@|@flaw (v)@
@~erep (na ~ovek `ivotno)@|@brainpan@
@~esen@|@candid, aboveboard@
@~esen odnos@|@fair play@
@~esen zbor@|@My word@
@~esna igra@|@fair play@
@~esno@|@heart and soul, in all conscience@
@~esno go pe~ali lebot@|@worth's one's salt@
@~esno se odnesuva@|@play the game (fig)@
@~esnost@|@fidelity@
@~est@|@kudos, continual, continuous, tribute (fig)@
@~estar@|@spinney@
@~estita@|@congratulate@
@~estitawe@|@congratulations@
@~estitki@|@congratulations@
@~esto@|@hourly@
@~eta@|@gang, horde, band@
@~etinar@|@conifer@
@~etinarski@|@coniferous@
@~etiriagolen@|@quadrangular@
@~etiriagolen dvor@|@quadrangle@
@~etiriagolen dvor@|@quad@
@~etiriagolnik@|@quadrilateral@
@~etiriagolnik@|@quadrangle@
@~etirino`e~ki@|@on all fours@
@~etirino`ec@|@quadruped@
@~etiristotagodi{nina@|@quatercentenary@
@~etiristran@|@quadrilateral@
@~etvrgodi{en@|@quarterly@
@~etvrt@|@quarter@
@~etvrt dolar (25 centi)@|@quarter (Am)@
@~etvrt finale@|@quarterfinal@
@~etvrt leb@|@quartern@
@~etvrt pinta (0.142 litri)@|@quartern@
@~etvrt zaklano `ivotno@|@quarter 1@
@~etvrtina@|@quarter@
@~etvrtina od krug@|@quadrant@
@~etvrtina od peni@|@farthing@
@~eza@|@hansom, brake 2, gig@
@~ibuk@|@hubble-bubble, hookah@
@~iflik@|@grange@
@~ileanski bor@|@monkey puzzle@
@~in@|@act (n)@
@~in@|@action, deed@
@~inewe@|@cost (n)@
@~ini@|@cost (cost-cost), deem@
@~ini  usluga@|@accomodate, accommodate@
@~inija@|@grail (arch)@
@~inija za sos@|@gravy boat@
@~initel@|@factor@
@~inovni~ki aparat@|@establishment@
@~intijani@|@pyjamas (Am pajamas)@
@~ir@|@abscess, ulcer, canker, boil (2)@
@~ir~e@|@acne@
@~irak@|@apprentice@
@~irakuvawe@|@apprenticeship@
@~ist@|@kosher, absolute, innocent, continent, short@
@~ist (list hartija)@|@blank@
@~ist (mat i fizika)@|@abstract 1@
@~ist (ugled)@|@unspotted@
@~ist list hartija@|@blank (n)@
@~ista sreda@|@Ash Wednesday@
@~istewe@|@mop up@
@~isti@|@mop (v)@
@~isti od koski@|@bone (v)@
@~isti teren@|@mop up (coll)@
@~istitelno sredstvo@|@laxative@
@~itanka (Am)@|@speller@
@~itawe dlanka@|@palmistry@
@~itawe)@|@addict@
@~ivija@|@brad@
@~izma@|@boot (1)@
@~izmi visoki kowi~ki@|@jack boot@
@~kripav@|@grating (adj)@
@~kripi@|@grate (2) v@
@~len@|@member, article@
@~len (na imenka)@|@article@
@~len na `iri@|@adjudicator@
@~len na Armijata na spasot@|@salvationist (n)@
@~len na banda ili tolpa@|@mobster@
@~len na konzervativna partija@|@Conservaitve@
@~len na pleme@|@tribesman@
@~len na posada na {leper@|@bargee@
@~lenarina@|@member fee@
@~lenstvo@|@membership@
@~mar@|@anus@
@~ove{tvo@|@man@
@~ove~ki rod@|@man@
@~ovek@|@man, human being, beggar (coll), bloke (Br sl)@
@~ovek-`aba@|@frogman@
@~ovek (razg)@|@bird@
@~ovek {to ~ita od dlanka@|@palmist@
@~ovek {to mnogu vika (lae)@|@barker@
@~ovek {to pali uli~ni svetilki@|@lamp lighter@
@~ovek {to se oblo`uva@|@better (bettor)@
@~ovek {to smeta@|@calculator@
@~ovek koj {epoti@|@whisperer@
@~ovek koj ~uva deponirani pari@|@bailee@
@~ovek koj deponira pari@|@bailor@
@~ovek koj e na pansion@|@boarder@
@~ovek koj lepi plakati@|@billposter@
@~ovek koj lepi plakati@|@billsticker@
@~ovek koj mnogu ~ita (fig)@|@bookworm@
@~ovek koj rasipuva veselba@|@wet blanket@
@~ovek koj se pravi dobar@|@goody-goody@
@~ovek koj vr{i razmena@|@barterer@
@~ovek nenaviknat na more@|@land lubber@
@~ovek od istok@|@Oriental@
@~ovek od narodot@|@jack@
@~ovek ostaven na pust ostrov@|@maroon@
@~ovek so koj se deli krevet@|@bedfellow@
@~ovek so nisko poteklo@|@pleb@
@~ovek zmija@|@contortionist@
@~ovekojadec@|@ogre, cannibal@
@~ovekojadka@|@ogress@
@~ovekojadski@|@cannibalistic.ally@
@~ovekolika ripka@|@molly@
@~u{ka (od pamuk)@|@boll@
@~u~uliga@|@lark@
@~u~uliga mala@|@pipit@
@~udak@|@odd man out@
@~udak@|@oddity@
@~udak@|@oddball@
@~uden@|@odd, outlandish (fig), antic, astonishing@
@~uden nastan@|@oddity@
@~udesen@|@marvellous marvelous@
@~udesija@|@magic@
@~udewe@|@puzzlement, amazement, astonishment@
@~udna ideja@|@whimsy@
@~udno@|@oddly@
@~udno odnesuvawe@|@whimsy@
@~udnost@|@oddity@
@~udo@|@marvel@
@~udo od dete@|@infant prodigy@
@~udovi{en@|@abnormal@
@~udovi{nost@|@abnormality, monstrosity@
@~udovi{te@|@leviathan, monster, mooncalf@
@~uen (signal)@|@audio@
@~ujnost@|@audibility@
@~uka@|@beat beat beaten@
@~uka (srceto)@|@palpitate@
@~ukawe@|@beat@
@~ukawe (na prozorec)@|@rat-(a)-tat@
@~ukawe na srceto@|@palpitation@
@~uknat@|@bats (sl)@
@~uknuva@|@bump@
@~ulnost@|@flesh, animalism@
@~uma@|@pestilence, plague@
@~uma (fig)@|@contagion@
@~un@|@skiff@
@~uva@|@keep 1, guard (v), conserve, enshrine@
@~uva dete ili bebe@|@baby sit@
@~uva tajna@|@keep a secret@
@~uvar@|@sentinel, guard, guardian@
@~uvar na londonskiot Tauer@|@Beefeater@
@~uvar na zatvor@|@gaoler jailer jailor@
@~uvawe@|@conservation@
@~uvstven@|@soulful.ly, sensuous@
@~uvstvenost@|@soulfulness, sensuousness@
@~uvstvitelen@|@vulnerable, sentient, impressionable, melting@
@~uvstvitelen (stomak)@|@queasy (queasily)@
@~uvstvitelnost@|@vulnerability, impressionability@
@~uvstvo@|@heart@
@~uvstvo na ni`a vrednost@|@inferiority complex@
@~uvstvo na povra}awe@|@qualm 1@
@~uvstvo za navigacija@|@road sense@
@~uvstvuva gadewe kon@|@abominate@
@~uvstvuva omraza@|@bear malice@
@10 milioni (za pari rupii)@|@crores (hind)@
@100 000@|@lakh (hind)@
@12.7 kg te`ina@|@quarter 3@
@a@|@but (conj), and@
@A {to }e pravime so@|@How about?@
@a{~ilnica@|@cookshop@
@a{ik@|@dib@
@a|utant@|@adjutant@
@aba`ur@|@lampshade@
@abdal@|@tike@
@abdicira@|@abdicate@
@abdikacija@|@abdication@
@abdomen@|@abdomen@
@abewe@|@attrition@
@abnormalen@|@aberrant@
@abnormalnost@|@aberration 1, abnormality@
@abolicija@|@abolition 1@
@abolicionist@|@abolitionist@
