@biscuit@|@sausainis@
@bit@|@barzda, gabaliukas, kąsnis, lašas@
@bite@|@įkandimas, kąsti (kanda/kando)@
@bite off@|@kąsti (kanda/kando)@
@bitter@|@kartus@
@bitterly cold@|@baisiai šalta@
@black@|@juodas@
@Black Sea@|@Juodoji jūra@
@black-board@|@klasės lenta@
@black-haired@|@juodaplaukis@
@bleed@|@kraujuoti (kraujuoja/kraujavo)@
@blight@|@sugriauti (sugriauna/sugriovė)@
@blind@|@aklas, užuolaida@
@blindness@|@aklumas@
@blink (of an eye)@|@akimirka@
@block@|@rąstas@
@block hive@|@avilys@
@blockhead@|@kvailys@
@blond@|@blondinas, šviesiaplaukis@
@blood@|@kraujas@
@bloody@|@kruvinas@
@blossom (bot.)@|@žiedas@
@blossom out@|@sprogti (sprogsta/sprogo)@
@blot@|@dėmė@
@blow up@|@sprogdinti (gdina/gdino), sprogti (sprogsta/sprogo), susprogdinti (gdina/gdino)@
@blud feud@|@kraujo kerštas@
@blue@|@žydras@
@blunder@|@klaida@
@blunt@|@atšipęs, bukas@
@blush@|@rausti (rausta/raudo)@
@bluster@|@ūžti (ūžia/ūžė)@
@board@|@laivo, lėktuvo bortas, lenta, maistas, stalas@
@board of honour@|@garbės lenta@
@boards@|@scena@
@boat@|@laivelis, valtis@
@body@|@kūnas@
@bog@|@bala@
@boil@|@kunkuliuoti (liuoja/liavo), virti (verda/virė)@
@bold@|@drąsus@
@boldness@|@drąsa@
@bole@|@liemuo (medžio ~)@
@boletus (bot.)@|@baravykas@
@Bolivia@|@Bolivija@
@Bombay@|@Bombėjus@
@bombed out@|@subombarduotas@
@bon voyage!@|@geros kelionės!@
@bon-bon@|@saldainis@
@bone@|@kaulas@
@bonfire@|@laužas, ugnis@
@Bonn@|@Bona@
@bonnet@|@skybėlė@
@booby@|@varna, žioplys@
@book@|@knyga, užsakyti (užsako/užsakė)@
@book of complaints@|@skundų knyga@
@book spreader@|@knygnešys@
@bookcase@|@knigų spinta@
@bookdistributor@|@knygnešys@
@book-keeper@|@buhalteris@
@book-keeping@|@buhalterija@
@book-office@|@bilietų kasa@
@book-shelf@|@knygų lentyna@
@book-shop@|@knygynas@
@bookstore@|@knygynas@
@boon@|@spalis (linų ~)@
@boot@|@batas@
@boot maker@|@batsiuvys@
@border@|@riba, siena@
@border crossing@|@sienos perėjimas@
@borrow@|@skolintis (linasi/linosi)@
@borshch@|@barščiai@
@Bosporus@|@Bosforas@
@boss (snek.)@|@šeimininkas@
@both@|@abu@
@bother (with)@|@lįsti (lenda/lindo)@
@bottle@|@butelis@
@bottle-neck@|@silpna vieta@
@bough@|@šaka@
@bound@|@ežia, riba, šuolis@
@boundary@|@riba, siena@
@bow@|@kaspinas@
@bowl@|@dubuo, vaza (taurės pavidalo)@
@box@|@boksas, būda, smūgis@
@box of matches@|@dėžė degtukų@
@box on the ear@|@antausis@
@boy@|@berniukas, jaunuolis, vaikinas@
@bracelet@|@apyrankė@
@braid@|@kasa (plaukų ~)@
@brain@|@smegenys@
@brake@|@pertrauka, stabdys@
@branch@|@filialas, šaka, skyrius@
@branch establishment@|@filialas, skyrius@
@brave@|@šaunus@
@Brazil@|@Brazilija@
@bread@|@duona@
@bread-crumb@|@trupinys@
@break@|@ardyti (ardo/ardė), daužyti (daužo/daužė), laužti (laužia/laužė), lūžis, lūžti (lūžta/lūžo), sulaužyti (sulaužo/sulaužė), trūkti (trūksta/trūko)@
@break into@|@įsbrauti (įsbrauja/įsbraujavo)@
@breast@|@krūtinė@
@breath@|@dvasia, kvapas, kvėpavimas@
@breathing@|@kvėpavimas@
@breed@|@auginti (augina/augino)@
@breeze@|@švelnus, vėjas@
@bribe@|@kyšis@
@bride@|@jaunoji@
@bridegroom@|@jaunikis@
@bridge@|@tiltas@
@brief@|@trumpas@
@briefly@|@trumpai@
@brigade@|@komanda@
@bright@|@aiškus, doras, linksmas, ryškus, šviesus@
@bring@|@atnešti (atneša/atnešė), atvežti (atveža/atvežė)@
@bring (with one)@|@atsinešti (atsineša/atsinešė)@
@bring down@|@versti (verčia/vertė)@
@bring to a stop@|@systabdyti (tabdo/tabdė)@
@bring up@|@auginti (augina/augino), ugdyti (ugdo/ugdė)@
@broadcast@|@valandėlė (radijo ~)@
