@ten thousand@|@zehndoisig@
@tenth@|@zehnt@
@that is what it is@|@was esch's@
@that wants to say this@|@was soll des heisse@
@that's what you think@|@baberlebab@
@the agriculturist@|@de Bür@
@the bottle@|@d' Flãsch@
@the cup@|@d' Dãss@
@the day after tomorrow@|@ewermorje@
@the fishes@|@d' Fisch@
@the fork@|@d' Gãwel@
@the fruits@|@'s Obscht@
@the glass@|@'s Glãs@
@the knife@|@'s Mësser@
@the mason@|@de Mürer@
@the nurse@|@d' Krãnkeschwester@
@the painter@|@de Moler@
@the photographer@|@de Fotogrãf@
@the physician@|@de Dokter@
@the plate@|@d' Daller@
@the sausages@|@Wirschtle@
@the woodworker@|@de Schriner@
@theeth@|@zehn@
@there@|@do@
@therefore@|@denn@
@they are@|@sie sinn@
@they had@|@sie hãn...g'hett@
@they have@|@sie hãn@
@they turn@|@sie wëre@
@they turned@|@sie sinn...worre@
@they were@|@sie sinn...g'sinn@
@thimble@|@Wirfel@
@thirteen@|@drittzehn@
@thirty@|@drizig@
@thirty one@|@einedrisig@
@thirty three@|@dreiedrisig@
@thirty two@|@zweiedrisig@
@this is not?@|@gëll@
@this month@|@de monet@
@this year@|@diss johr@
@thread@|@Fãde@
@three@|@dreij@
@three hundred@|@dreihundert@
@three times@|@drei mohl@
@thursday@|@dùnnerschdàà@
@to ask@|@fröje@
@to be afraid@|@verschrecke@
@to be called@|@heisse@
@to be lying@|@leje@
@to be sat@|@sitze@
@to be standing@|@stehn@
@to beat@|@schlawe@
@to become@|@wër@
@to bind@|@binde@
@to bite@|@bïsse@
@to blow@|@blose@
@to blow himself@|@schnitze@
@to break@|@brëche@
@to breathe@|@schnüfe@
@to bustle@|@jäschde@
@to buy@|@kaufe@
@to call@|@rüefe@
@to can@|@kënne@
@to caress@|@strïche@
@to carry@|@trawe@
@to catch@|@fãnge@
@to chat@|@rädsch babble, schwätze@
@to close@|@zü@
@to come@|@komme, kùmme@
@to cook@|@koche@
@to cook at the oven@|@bãche@
@to cross@|@iwwer d' Stross gehn@
@to cry@|@brielle, hile, hille@
@to cut@|@schniide@
@to dance@|@dãnze@
@to defend@|@verbiete@
@to derail@|@schbene@
@to die@|@stërwe@
@to dig@|@grãwe@
@to disappear@|@verschwinde@
@to draw@|@zeichne@
@to dress@|@sich ãnzeje@
@to drink@|@trenka, trinke@
@to drink with excess@|@süffe@
