@turnip@|@otsihkwa'kowa@
@turtle@|@a'nowara@
@twelve@|@tekeni-yawenre@
@twenty@|@tewahsen@
@twenty-eight@|@tewahsen-sha'tekon@
@twenty-five@|@tewahsen-wisk@
@twenty-four@|@tewahsen-kayeri@
@twenty-nine@|@tewahsen-tyohton@
@twenty-one@|@tewahsen-enhskat@
@twenty-seven@|@tewahsen-tsyatak@
@twenty-six@|@tewahsen-yayak@
@twenty-three@|@tewahsen-ahsen@
@twenty-two@|@tewahsen-tekeni@
@two@|@tekeni@
@two hundred@|@tekeni-tewn'nyawer@
@two thousand@|@tekeni-tewen'nyawe'ehseron@
@typewriter@|@tekarihstoraraks@
@uncle@|@-noha's@
@upper part of leg@|@ohahsa@
@use (v.)@|@-tstha'@
@vegetables@|@a'sehson'a@
@vinegar@|@yoti'tsyatken@
@wall@|@ahsonhta@
@wallet@|@yehwihstarakhwa@
@washcloth@|@yekonhsohare'tahkwa@
@washing machine@|@kanohares@
@watch (.v)@|@-teròroks@
@water@|@ohneka, ohnekanos@
@water pitcher@|@yehnekarahkwa@
@watermelon@|@onon'onhserakahte@
@Wednesday@|@Ahsenhatont@
@weed@|@kahontaksen@
@whale@|@ohswakaront@
@white@|@kenraken@
@white ash tree@|@kaneron@
@white cedar tree@|@yonen'tòren@
@white oak@|@otokenha@
@white sugar@|@katsikhe'takenra@
@wild animal@|@kario@
@win (v.)@|@-tkwenyes@
@window@|@tsi yohsonhtakàronte@
@window pane@|@otsisera@
@windy: it is ~@|@yaote@
@winter: in the ~@|@kohsera'kène@
@wolf@|@okwaho@
@wood@|@oyente@
@wrist@|@onentshawìtha@
@wristband@|@atenentshawìtha@
@write (v.)@|@-hyatons@
@yeast@|@yohsherhatken@
@yellow@|@otsinekwar@
@yesterday@|@thetenre@
@younger brother@|@-'kenha@

