@to sleep@|@s-a=xa-@
@to smear@|@k-a=ghwa-@
@to soak@|@s-ä=xa-@
@to stand@|@l-u=zwa-, xIyghI-y=xIa-@
@to stay@|@a=ga-, ame-xis@
@to sting@|@ji=ta-, rita-@
@to sweep@|@qa=raxa-, qa=xa-@
@to swell@|@t-a=xIa-@
@to take@|@h-a=q:a-@
@to take off@|@q-a=zhe-@
@to talk@|@=alga-@
@to tear@|@s-u=qwa-@
@to tear off@|@kegh-i=xwa-@
@to throw@|@=ije-, e=e-@
@to tremble@|@qa=lqa-@
@to walk@|@h-yxy-r@
@to want@|@=yga-@
@to wash@|@ji=gha-@
@to watch@|@g-a=q:a-@
@to weave@|@=yxyrxa-@
@to weep@|@=eše-@
@to win@|@li=ta-@
@to wrap@|@y-rk-as@
@tomb-stone@|@syl@
@tom-cat@|@marqIaw@
@tomorrow@|@baga@
@tongue@|@miz@
@tooth@|@sylab@
@top@|@kä'@
@track@|@xäl@
@trap@|@chank, tap@
@tree@|@xuk@
@trivet@|@muq@
@trough@|@wysyn, xuxuj@
@trousers@|@badu@
@twenty@|@q:a-d@
@twig@|@tul@
@two@|@qIwad@
@two-pronged pitchfork@|@qIyj@
@udder@|@xIyw@
@urinary bladder@|@paraxIul@
@urine@|@zur@
@vagina@|@biti@
@variegated@|@qIyrch-dy@
@virgin soil@|@uxIa-l@
@wall@|@mas@
@warm@|@sigy-d@
@wart@|@tit@
@water@|@xäd@
@we@|@jä, ži@
@weasel@|@tük@
@wedge@|@qIwarch, wygyn@
@weigh@|@h-a=cwa-@
@wet@|@mehi-d@
@what@|@ši-w, ši-wi@
@wheat@|@ghyl, mü'ür, xin@
@when@|@mys@
@whetstone@|@uju-d@
@whey@|@chweh, xIada-xIul@
@which@|@ha-la@
@whip@|@chumk@
@white@|@liz-, zhagwar-dy@
@who@|@vy-š@
@wide@|@aqIur-dy@
@wild turkey@|@swal@
@willow@|@chul@
@wind@|@xybyl@
@window@|@ghul@
@wine-skin@|@qydyq@
@winter wheat@|@qir@
@winter-supply of dried meat@|@gwan@
@wither@|@zhy=ghIa-@
@wolf@|@ubul@
@woman@|@xydyldy@
@wood@|@dam@
@wooden shovel@|@jif@
@wooden trough@|@xyl@
@woolen thread@|@kwäl@
@word@|@chäl@
@worm@|@muluxI@
@yard@|@xIan-aqI@
@year@|@sän@
@yellow@|@qI:ybdy@
@yoke@|@chiq@
@you (pl)@|@we@
@young@|@muk-dy@
@young he-goat@|@mixIyl@
@young of domestic animals@|@karaqyj@
@young of donkey@|@qIwanch q:Iwanch@

