@far@|@longwe@
@far away@|@longwe@
@fare (ticket)@|@baiyim@
@farm@|@gaden, stesin@
@farm field@|@gaden@
@farmer@|@didiman@
@fashion@|@pasin, pesin@
@fast@|@hariap, kwik, pas@
@fat@|@bikbel, bikbel, gris, gris, pat, patpela@
@fat person@|@bikbel, grisman@
@father@|@papa@
@father (priest)@|@padre, pater@
@fault@|@asua, rong, trabel@
@fear@|@pret@
@feast@|@krismas@
@feather@|@gras blong paul, gras blong pisin, kangal@
@feathers@|@gras@
@February@|@Februeri@
@feces@|@pekpek, pekpek, pekpek, sit@
@federation@|@federesen@
@feet (measurement)@|@fit@
@fellow sufferer@|@wanrot@
@fellow worker@|@wanwok@
@fellow-traveller@|@wanrot@
@felt@|@moson@
@female@|@meri@
@female genitalia@|@bokis@
@female owner of something@|@mama@
@fence@|@banis, palpal@
@fester@|@stink@
@festival@|@krismas, pesto, singsing@
@fetus@|@pikinini i blut yet@
@fever@|@fiva, skin hat@
@fiery@|@hatpela@
@fifteen@|@fiftin, wanpela ten faiv, wanpela ten faiv@
@fifteen (15)@|@fiftin, piptin@
@fifty@|@faipela ten, fifti@
@fifty (50)@|@pipti@
@fig tree@|@fiktri, piktri@
@fight@|@pait@
@file@|@fail, pail@
@filled@|@pulap@
@fin@|@pul@
@fine gravel@|@wesan@
@fine hair@|@moson, mosong@
@finery@|@bilas@
@finger@|@pinga@
@fingernail@|@kapa@
@finish@|@pinis@
@fire@|@bombom, paia@
@fireman@|@paiaman@
@firewood@|@paiawut@
@firm@|@pas, pas, strongpela@
@firmly@|@pas, tru@
@first@|@namba wan, pastaim@
@first in line@|@paslain@
@first-aid post@|@etpos@
@fish@|@malambur, pis@
@fish scales@|@grile@
@fishing line@|@pislain@
@fishing net@|@umben@
@fit@|@inap@
@fitting@|@stretpela@
@five@|@faif, paif@
@five (of)@|@faifpela@
@flag@|@plak@
@flagpole@|@mas@
@flame@|@lait@
@flare@|@bombom@
@flash@|@lait@
@flashlight@|@lam wokabaut, sutlam, tos@
@flat@|@stretpela@
@flatterer@|@grisman@
@flattery@|@gris, gris, tok gris@
@flea@|@laus, musmus@
@flesh@|@mit@
@flirt@|@gris@
@flood@|@haiwara, wara tait@
@flood tide@|@tait@
@flour@|@plaua@
@flower@|@plaua@
@flute@|@mambu@
@fly@|@laus@
@fly (insect)@|@lang@
@flying fox (bat)@|@blakbokis@
@foam@|@spet@
@fodder@|@gras@
