@English@|@Indonesian@
@address; si-@|@alamat@
@addressee@|@si alamat@
@adduce@|@mengemukakan, menunjukkan@
@adept@|@ahli, mahir dlm@
@adequacy@|@kecukupan@
@adequate@|@cukup, memenuhi syarat@
@adhere@|@melekat, menganut, menyokong, setia@
@adherence@|@penganut, penyokong@
@adherent@|@anut, penganut, penyokong@
@adhesive@|@lekat, rekat@
@adhesiveness; pe-@|@rekat@
@adhrering@|@lekat@
@adieu@|@sampai jumpa lagi@
@adjacent@|@berbatasan, berdampingan, berdekatan@
@adjective@|@kata sifat@
@adjoin@|@berdampingan, bersampingan, bersebelahan@
@adjourn@|@membubarkan (rapat), pindah@
@adjudicate@|@melerai, memisah, mengadili@
@adjudication@|@pengadilan, penyelesaian@
@adjunct@|@sesuatu yg dihubungkan dgn yg lebih penting@
@adjure@|@memohon, mempersumpahkan@
@adjust@|@setel@
@adjutant@|@ajudan@
@administer@|@melaksanakan, memegang, memerintah, mengurus, menyaksikan, menyelenggarakan@
@administer; pem-an@|@pangku@
@administration@|@administrasi, pangku, pemerintahan, tata usaha@
@admirable@|@menimbulkan rasa kagum@
@admirably@|@dgn mengagumkan@
@admiral@|@laksamana@
@admiralty@|@markas AL (Iggris)@
@admiration@|@hormat, perasaan kagum, puas, senang@
@admire@|@kagum, mendambakan, mengagumi@
@admissible@|@diperbolehkan, dpt dipertimbangkan@
@admission@|@masuk, pengakuan@
@admit@|@memasukkan, membenarkan, mengaku, mengaku, mengijinkan (masuk)@
@admit defeat)@|@serah@
@admit of@|@masih dpt@
@admittance@|@izin masuk@
@admittedly@|@memang, memang@
@admixture@|@campuran, percampuran@
@admonish@|@memperingatkan, menasehati, menegur@
@admonition@|@nasehat, nasihat, teguran@
@ado@|@kerepotan@
@adolescence@|@keremajaan@
@adolescent@|@remaja akil balik@
@adolescent; me-kan@|@remaja@
@adopt@|@memungut anak, mengikut, meniru@
@adopted  (mem-@|@pungut@
@adorable@|@patut dipuja/dicintai@
@adore@|@memuja (Tuhan), mencintai, mengagumi, menghormati@
@adorn@|@menghiasi@
@adorned; dressed up; -an@|@hias@
@adornment@|@hiasan@
@adrift@|@terapung tdk terkendali, turn ~:mengusir@
@adroit@|@cakap, cepat, gesit, pandai, tangkas@
@adulation@|@pujian, rayuan, sanjungan@
@adult@|@dewasa, dewasa, orang dewasa@
@adulterate@|@memalsukan, mencampuri, menurunkan mutunya@
@adulterer@|@laki2 yg berzinah@
@adulteress@|@perempuan yg berzinah@
@adultery@|@zinah@
@adv.); -an@|@tantang@
@advance@|@memajukan, menaikkan, pendekatan thd pacar, uang muka@
@advanced@|@jauh melebihi yg lain@
@advanced; long@|@lanjut@
@advancement@|@kemajuan@
@advantageous@|@berfaedah, menguntungkan@
@advent@|@kedatangan, sblm Natal@
@adventitious@|@scr kebetulan, tdk sengaja@
@adventure@|@petualangan@
@adventurer@|@petualang@
@adventurous@|@suka bertualang@
@adv'er; per-an@|@iklan@
@adverb@|@kata keterangan@
@adverbial@|@spt kata keterangan@
@adversary@|@lawan, musuh@
