@English@|@Haitian creole@
@base@|@baz, baze, fondasyon@
@based on@|@depi@
@basement@|@sousòl@
@bashful@|@timid@
@basin@|@basen@
@bastard@|@bata@
@baste@|@aroze@
@bat@|@chòvsourit@
@batch@|@founen, lo a, pake@
@bath@|@beny@
@bathe@|@benyen@
@bathing suit@|@mayodben an@
@bathrobe@|@dezabiye, moumou@
@bathroom@|@twalèt@
@baton@|@baton@
@batter@|@pat pou fri@
@batteries@|@pil@
@battery@|@batri, pil@
@battle@|@batay@
@bawl@|@braye, fè djòlè@
@bay@|@bè, gòlf, lans la, rad@
@bay grow kout dan to take big bites@|@kout dan@
@bay kout pye to kick@|@kout pye@
@be@|@ye@
@be able@|@gendwa@
@be alert@|@mete nanm sou ou@
@be bold enough@|@pèmèt@
@be brave@|@met fanm sou ou@
@be careful@|@pinga, veye@
@be courageous@|@met fanm sou ou@
@be fond of@|@renmen@
@be greedy@|@gen groje@
@be hilarious@|@ri@
@be in charge of@|@dirije@
@be in love@|@renmen 2@
@be it@|@keseswa@
@be lame@|@brete, bwate, bwete@
@be on one's way@|@ap rive; an rout@
@be over with@|@al bannann@
@be persistent@|@antiche@
@be published@|@parèt@
@be quiet@|@pe bouch ou, poze@
@be reticent@|@fè rebèl@
@be successful@|@resi@
@be suprised@|@sezi@
@be with@|@sou@
@beach@|@plaj@
@bead@|@chaplèt@
@beam@|@reyon@
@bean@|@ous@
@bear in mind@|@met nan tèt@
@beard@|@bab@
@beast@|@animal la, annimal la, bèt la, zannimo a@
@beast of burden@|@bèt chay@
@beat@|@bat, kale, tape, taye 2, vannen@
@beat it@|@alevouzan@
@beat the ground forcibly@|@ponpadò@
@beat up@|@sapata@
@beating@|@bwa a, koup baton@
@beautification@|@anbelisman an@
@beautiful@|@an penpan, anpenpan (adj), bèl@
@beautify@|@anbeli@
@became@|@te vini, tonbe 3@
@because@|@depi 2, deske, kòm, lefètke, pase 7, paske, piske 2, pliske, poutèt 2, puiske, pwiske@
@because of@|@afòs, akòz, akoz de, gras a, grasa, piske, poutèt@
@because of it@|@pou sa@
@because of the amount@|@pou valè@
@become@|@antre 2, rive 3, sòt 2, tounen, vin@
@become emaciated@|@redui, redwi@
@become more beautiful@|@anbeli@
@become popular@|@pran fil@
@become proficient@|@maton@
@bed@|@kabann@
@bedroom@|@chanm@
@bee@|@abèy, myèl@
@bee stinger@|@pikan@
@beef meat@|@vyann bèf@
@beehive in a wooden box@|@bwat myèl@
@been@|@ye@
@beer@|@byè@
@beet@|@bètrav@
@beetle@|@skarabe@
@befall@|@pase 2, rive 2@
@befit@|@koresponn@
@before@|@anvan, avan, devan@
@before a noun means small@|@ti 2@
@before daybreak@|@douvanjou, vanjou@
@before long@|@anvan lontan@
@before noun means own@|@pwòp 3@
@before sundown@|@avan solèy kouche@
@before you leave@|@anvan w ale di m@
@befriend@|@trete an zanmi@
@beg@|@mande, sipliye@
@beggar@|@mandyan@
@beggar (may be used as adj or noun)@|@pò 2, pòv@
@begin@|@kòmanse@
@beginning@|@amòs la, kòmanse, kòmansman@
@beguile@|@tronpe@
@begun and continued to occur for some time@|@pran 5@
@behavior@|@ajisman an@
@behind@|@an aryè, annaryè, annèryè, bak, dèyè@
@behind the@|@bak@
@behive@|@riche a@
@behold@|@gade, kontanple, men@
@being@|@egzistans@
@belch@|@rapò a 2, rote, vomi@
@belie@|@demanti@
@Belief@|@kwayans la@
@believe@|@kwè@
@belittle@|@rabese@
@bell@|@klòch@
@bellhop@|@gason@
@bellow@|@begle@
@belly@|@pans la, vant@
@bellyache@|@vantfemal@
@belongings@|@afè a, efè a, zafè a@
@below@|@anba@
@belt@|@senti, sentiron@
@bench@|@ba, ban, bankèt, bay 4@
@bend@|@koube, pliye@
@beneath@|@anba, anba 2@
@benefactor@|@byenfetè a@
@beneficence@|@byenfezans@
@beneficial@|@benfisyèl, itil@
@benefit@|@benefis, profi, pwofi@
@benevolent@|@benevòl@
@bent@|@kochi@
@bent over@|@krocha@
@bereaved@|@an dèy, andèy@
@bereavement@|@dèy@
@berry@|@grenn@
@beseech@|@sipliye@
@beside@|@a pa, akote, apa, bò, bò kot, bò kote, bòkot, bòkote, kot, kote 2@
@besides@|@an plis, ankò, anplis, dayè@
@besiege@|@asyeje@
@best@|@meyè, miyò, mye, pi bon@
@bet@|@parye@
@betray@|@ba 3, ban 3, bay 5, denonse, trayi@
@better@|@mye, pi bon@
@betting@|@parayj@
@between@|@ant, antre 3, nan mitan, omilye@
@between now and@|@disi@
@between now and next month@|@disi mwa prochen@
@between them@|@antre yo@
@beverage@|@bwason@
@beverage made from sugar cane@|@vezou a@
@beware@|@mefye, piga, pinga@
@bewilder@|@dezoryante@
@bewitch@|@ansòsele, chame@
@beyond@|@lòtbò, pi devan, pi lwen, piplis, plis@
@bias@|@patipri@
@biblical@|@biblik@
@biceps@|@bibi a@
@bickering@|@zizani@
@bicycle@|@bisiklèt@
@bid@|@òf, pari@
@big@|@gran, grandi, gro; gran, gwo 2@
@big fellow@|@gran breng@
@big landowner@|@grandon@
@big shot@|@gran kòlèt, gro moun@
@big talker@|@grandan an@
@bigger@|@kokennchenn, pi gro@
@bigger than@|@pi gwo pase@
@biggest@|@pi gwo@
@bigot@|@fanatik@
@bigshot@|@grannèg@
@bile@|@kòlè@
@bilingual@|@bileng@
@bill@|@nòt; biye@
@billfold@|@pòtfèy la@
@bind@|@mare, tavhe, uni@
@biology@|@biyoloji@
@bird@|@zwazo@
@birdie (small boy)@|@tipichout la@
@birdie (small boys penis)@|@tigigit@
@birthday@|@anivèsè a@
@birthmark@|@anvi a@
@biscuit@|@biskit@
@bishop@|@evèk la@
@bit@|@kal, mò a, pati a@
@bit by bit@|@antchenkon@
@bitch@|@femèl chen, manman chen@
@bite@|@kout dan@
@bitter@|@amè, anmè@
@bitter bush@|@vanyan gason@
@blabbermouth@|@bouch alèlè, lang alèlè@
@black@|@nwa@
@black out@|@blakaout la@
@blackbird@|@mèl la@
@blackout@|@blakawout la@
@blacksmith@|@fòjon an, fòjron an@
@bladder@|@blad la, blad pipi, blad pise@
@bladder in a tire or soccer ball@|@vesi a@
@blade@|@lam, lamè, lanm@
@blah@|@alèlè, alèlè@
@blame@|@blame, joure, repròch@
@bland@|@afab, emab@
@blank@|@blan, vid@
@blanket@|@kouvèti@
@blast@|@eksplozyon@
@blaze@|@flanm@
@bleach@|@kloròks@
@bleak@|@fèb@
@bleed@|@senyen@
@blend@|@melanj la@
@blessing@|@benediksyon@
@blind@|@avèg, je pete@
@blissful@|@byennere@
@block off one's way@|@bare@
@blocked@|@anbarase 2@
@blockhead@|@ennbèsil, idyo@
@blood@|@san@
@bloom@|@flè, flè a@
@blot@|@tach@
@blouse@|@chemiz@
@blouse and skirt@|@ròb jip a kòsaj@
@blow@|@kout, mayèt la, mouche, sonnen, soufle, vante (the wind ...s)@
@blow out@|@boule@
@blue@|@ble@
@blue denim pants@|@abako a@
@blue jeans@|@abako a@
@blue material to make clothing@|@gro ble@
@bluff@|@blòf, blofe@
@blush@|@ront, rouji@
@board@|@bwa, fèy planch, planch@
@boast@|@vante@
@boastful@|@djòle, dyolè, gyòlè, lwanjè@
@boat@|@atifisyèl, batiman, bato@
@bobolink@|@òtolan, zètolan@
@body@|@k`o, kò a@
@body worm@|@loulou a@
@boil@|@bouyi@
@boisterous@|@vakabon2@
@bold@|@an demon, andenmon, apòy, kare, odasye, oran, temerè@
@boldness@|@jefò, lodas, odas la@
@bolt@|@chevi a@
@bon vivant@|@vivè a@
@Bondye@|@granmèt la@
@bone@|@zo@
@bonfire@|@boukan an@
@bongfire@|@flanbo@
@book@|@arete, liv, livè@
@book chapters@|@chapit liv@
@boost@|@rechaje, remonte@
@boot@|@bòt@
@booze@|@lwil satan@
@border@|@aranjman an, bòdi, fontyè a, frontyè, lizyè, rebò@
@bore@|@anniye, raz@
@boring@|@anbetan, blèm, blenm, enbetan, penitan, raz@
@borrow@|@prete@
@bosom@|@pwatrin, tete@
@boss@|@chèf, patron@
@both@|@toulede@
@both and@|@ni ---- ni@
@both were my brothers@|@toulede se te frè m@
@bother@|@anmègde, anmèkde, annuiye, charonyen, jennen, traka, traka a@
@bothersome@|@akòkò, akwòkò@
@bothersome person@|@pongongon an@
@bottle@|@boutèy, flakon an@
@bottle opener@|@kle@
@bottleneck@|@anbouteyay la@
@bottom@|@anba, fon an@
@bottomless hole@|@abim nan, labim nan@
@bound@|@angaje@
@bound by a vow@|@an ve, anve@
@boundless@|@san limit@
@bountiful@|@abondan, jenere@
@bouquet@|@boulè flè@
@bout@|@atak, kriz, peryòd@
@bow@|@bankal, koube@
@bowl@|@bòl@
@box@|@brèt, bwat, bwèt@
@boy@|@gason, ti gason, tigason an@
@boyfriend@|@amoure a, anmore a@
@bra@|@pòtgòj la@
@brace@|@atach, bretèl, vilbreken an@
@brag@|@djòle, dyolè, fè djòlè, gyòlè, vante@
@braggadocio@|@gran dizè@
@braggart@|@djòle, dyolè, gran dizè, gyòlè@
@brain@|@sèvo, tèt@
@brake (vehicle)@|@fren an@
@bramble@|@pikan@
@branch@|@branch@
@brand new@|@flanban nèf, tou nèf, tounèf@
@branding iron@|@etanp la@
@brass@|@kuiv, leton@
@brass knuckles@|@fopwen an@
@brave@|@brav, vanyan@
@brawl@|@dikisyon, goumen@
@brawn@|@misk, musk@
@brawny@|@miskle, muskle@
@brazier@|@recho@
@bread@|@pen@
@bread roll@|@ti pen@
@breadfruit@|@fòseli a, veritab la@
@breadfruit not completely ripe@|@aleksiwa@
@break@|@brize, fann, kase, kraze, separe@
@break to pieces@|@toupizi@
@break wind@|@fè van@
@breakdown@|@pann@
@breakfast@|@dejne, kolasyon@
@breaks (of car)@|@fren@
@breast@|@sen, tete@
@breath@|@alèn, souf@
@breathe@|@respire@
@breather@|@alèjman an@
@breathless@|@san souf@
@breathlessness@|@opresyon an@
@breed@|@elve, fè pitit, kwaze@
@breeding@|@edikasyon an@
@breeze@|@briz@
@bribe@|@kòronp@
@brick@|@brik@
@bridge@|@pon@
@bridle@|@brid, mò a@
@brief@|@brèf (adj), dosye@
@briefcase@|@valiz@
@bright@|@briyan, eklere, entelijan, klè 2, klere@
@bright color@|@vif@
@bright eyed@|@je klere@
@brilliant@|@eklere, klere, klere 3@
@brim@|@rebò@
@bring@|@mennen, pote, pote vini@
@bring close@|@aproche, proche, pwoche@
@bring in@|@rapòte@
@bring it out into the open@|@tire bagay la klè@
@bring it to me@|@pote l vini@
@bring me that book@|@pot liv la pou mwen@
@brisk@|@anime, shofe@
@bristle@|@pikan@
@brittle@|@frajil, poud@
@broad@|@laj, liberal@
@broadcast@|@emèt, emisyon, voye@
@broke@|@anbarase 3, anbrizi 2, brizurye, razè@
@broken english@|@Angle waf@
@broker@|@koutye@
@brook@|@pasdlo, sous, ti rivyè@
@broom@|@bale@
@broomstick@|@bwa bale@
@broth@|@bouyon@
@brothel@|@mezon@
@brother@|@frè, frè a@
@brother in the faith@|@chè frè@
@brow@|@sousi@
@brown@|@maron@
@bruise@|@mètri@
@brush@|@bròs, brose@
@brute@|@brital (adj), sovaj@
@buck shot@|@plon gaye@
@bucking@|@you chwal ponpadò@
@buckling@|@valeryann@
@bud@|@boujon@
@buddy@|@bon zanmi@
@budget@|@bidjè@
@buffoon@|@ransè, voryen@
@bug@|@anbete, ensèk, pinèz@
@buggy@|@poutet@
@bugs@|@vèmin@
@build@|@bati, konstwi@
@building timber@|@bwa chapant@
@bulge@|@anfle@
@bulk@|@manman lajan@
@bull@|@toro, towo@
@bullet@|@bal, plon an@
@bump@|@chòk, frape, kou, pouse@
@bunch@|@anpil (adj)@
@bundle@|@lyas, pake, pakèt@
@bunsh@|@grap@
@buoy@|@bre a, bwe a@
@burden@|@chaj, chay la@
@bureau of vital statistics@|@eta sivil, leta sivil@
@burglar@|@kanbriyolè@
@burglarize@|@vòlè@
@burgular@|@vòlè a, vòlò a@
@burgularize@|@vòlò@
@burial@|@antèman@
@burial hole@|@fòs la@
@buried treasure@|@ja lajan@
@burlap@|@kòlèt@
@burn@|@boule@
@burn up@|@boule 2@
@burning stick of wood@|@bwa dife@
@burning the pot-a vodoo ritual elevating to kanzo@|@boule zen@
@burp@|@rapò a 2@
@burst@|@eklate, fann, pati 3, pete@
@bus@|@bis, otobis, taptap la@
@bush@|@raje, rak@
@bush telegraph@|@teledyòl la@
@business@|@afè a, biznis, lokipasyon, negòs, okipasyon, zafè a@
@busy@|@afere, chaje@
@busy oneself with@|@okipe@
@busybody@|@achte afè a, fouradò, fouradon, fouyadò, fouyapòt, friyapòt@
@but@|@enbete, men, òr, sèlman@
@but (only)@|@tansèlman@
@but suppose@|@vini wè@
@butcher@|@bouche@
@butter@|@bè, bere@
@butterfly@|@papiyon@
@button@|@bouton@
@buy@|@acha, achte@
@buyer@|@achtè a, prenè a@
@by@|@ankò 2, bò, pa@
@by a long shot@|@lontan 2@
@by chance@|@pa aksidan@
@by dint of@|@afòs@
@by far@|@lontan 2@
@by golly@|@vyèytimenn mwen@
@by hand@|@a la men, alamen@
@by himself@|@po kò l, pou kont li@
@by means of@|@pa mwayen@
@by myself@|@po kò m, pou kont mwen@
@by now@|@lè konsa, lèkonsa@
@by ones self@|@pou kont@
@by one's self@|@poukont@
@by oneself@|@aleka@
@by sea@|@pa mè@
@by the way@|@antrot, antròt@
@by treason@|@antrèt@
@bypass@|@devyasyon, kontoune@
@byword@|@provèb, sinonim@
@cab@|@taksi@
@cabbage@|@chou@
@cabin@|@kabin@
@cabinet@|@lofis, ofis@
@cable@|@kab, telegram@
@cache@|@kachèt@
@cadaver@|@mò a@
@cafe@|@ba a 2, bwat, kafe@
@cage@|@kalòj@
@cajole@|@amadwe, ammadwe, andjoze, andyoze, anmadwe@
@cake@|@gato@
@calamity@|@evenman an, evènman an, kalamite, levènman@
@calculate@|@kalkile@
@calendar@|@almanak la@
@calf@|@ti bèf, vo@
@California@|@Kalifòni@
@call@|@rele@
@call 555-5555@|@rele nan 555- 5555@
@called@|@rele@
@callous@|@di, rèd, san pitye@
@callus  kò m  myself@|@kò a@
@calm@|@kalm@
@calm down@|@met dlo nan diven, mete dlo, mete dlo nan diven w, poze san ou@
@calumny@|@medizans la, vèni an@
@came@|@vin@
@came about@|@te vini@
@came by sea@|@vinn sou dlo@
@camel@|@chamo@
@camera@|@kamera, kodak@
@camp@|@desann, kanpman, poze pye@
@campaign@|@kanpagn@
@campaigning@|@kanpay la@
@campaigns@|@kanpay la@
@campfire@|@boukan an 2@
@can@|@fouti, gen dwa, gendwa, kanistè, kapab@
@can be@|@ka 3@
@can contain@|@ka gen ladan@
@can give@|@konn bay@
@can not@|@pa gen 3@
@can not remember@|@pa gen tèt@
@can or might include@|@ka gen ladan@
@can you blame me@|@eske w ka ban m tò mezanmi@
@can; may@|@kap@
@canal@|@rigòl la@
@cancer@|@kansè@
@candid@|@fran@
@candidate@|@kandida@
@candle@|@chandèl@
@candlelight@|@limyè bouji, limyè chandèl@
@candy@|@bonbon, sirèt@
@cane@|@kann@
@canoe@|@bwa fouye, bwa ron, kannòt@
@canopy@|@de a@
@canteen@|@kantin@
@canvas@|@twal@
@cap@|@berè, tchap la@
@capable@|@anpil kapasite, konpetan@
@capacity@|@kapacite, kapasite@
@cape geographic@|@kap la 2@
@capital@|@kapital@
@capricious@|@an chimè, anchimè, fè robis@
@caption@|@antèt, lejand@
@captious@|@acheval, manyak@
@captivate@|@kaptive, pran nanm@
@captive@|@kaptif@
@capture@|@kaptire@
@car@|@machin, oto, otomobil la, vwati, vweti a@
@car trunk@|@pòtchay la@
@carcass@|@kakas@
@card@|@fich la, kat, kat jwe@
@card game (you don't want to play this)@|@bwa lan men@
@cardigan@|@vès@
@cardinal@|@kadinal@
@care@|@sousi, swanye, swen, swen an@
@care for@|@gade 2@
@care for children@|@gade timoun@
@career@|@karyè@
@careful@|@apwofondi, atantif@
@careless@|@wachwach@
@caress@|@karès@
@caretaker@|@jeran an@
@cargo@|@chaj, chay la, chayman an@
@carnation@|@eyè a, zeye a@
@carpet@|@tapi, tapi a@
@carriage@|@charyo, kabwèt, vwati, vweti a@
@carrion@|@charony@
@carrot@|@karòt@
@carry@|@chay la 2, pote@
@carry the book for me@|@pot liv la pou mwen@
@cartoon@|@desen anime, komik@
@cartridge shell@|@po bal@
@carve@|@sizle, skilte@
@case@|@bwat, fouro a, ka a, kès@
@cash@|@kach, kontan, lajan@
@cashew@|@nwa@
@cashew apple@|@pòm kajou a@
@casing@|@aman, anvlòp@
@casino@|@kazino@
@cast@|@jete, ròl, voye@
@cast an evil spell@|@djoke, dyoke@
@castigate@|@chatye, joure, reprimande@
@castle@|@chato@
@castor oil plant@|@medsiyen an, mesiyen, metisiyen@
@casual@|@aksidantèl, dezenvòlt@
@cat@|@chat@
@catch@|@jwenn, lapèch, pran, trape@
@cater@|@aprovizyone, founi@
@cattle@|@bèt la, betay@
@caught@|@pran nan twa wa, pri 2@
@cauldron@|@chodyè@
@cause@|@kòz, lakòz, lotè, otè, prevyen, rezon@
@causing@|@ba, ban, bay 2@
@caution@|@prekosyon@
@cautiously@|@ak pridans@
@cave@|@gròt, gwòt la, kav, lagròt@
@caviar@|@kavya, ze@
@cavity@|@fant, trou@
@cease@|@rete, sispann, stòp@
@cede@|@bay legen@
@ceiling@|@plafon@
@celebrate@|@fè fèt, selebre@
@cellar@|@kav@
@cemetery@|@simityè@
@censer@|@ansanswa@
@censer bearer@|@anfannkè a@
@cent@|@kòbi; santim ò@
@center@|@ti galope, trote@
@center bit@|@vilbreken an@
@centipede@|@amilpye a, anmilpye a, annipye a, milpat la, milpye a@
@central@|@santral@
@century@|@syèk@
@cereal@|@sereyal@
@cero@|@taza a@
@certain@|@sèten, si, siswafè@
@certainly@|@sètènman@
@certainty@|@asirans@
@certificate@|@ak la 2, akt la 2, zak la@
@certify@|@sètifye@
@chafe@|@friksyonen, frote, irite@
@chaff@|@bal@
@chagrin@|@chagren, kè grenn, kè sere, kontraryete@
@chain@|@chenn@
@chained@|@mare@
@chair@|@chèz@
@chair back@|@apui chèz@
@chair)@|@do@
@chairman@|@direkte, presidan@
@chalk@|@lakre@
@chamber@|@chanm@
@chamber pot@|@potchanm nan, vaz la@
@chameleon@|@aganman an, agranman an@
@champ@|@chanpyon@
@chance@|@chans@
@chancel@|@titile@
@chandelier@|@chandelye@
@change@|@chanje, chanjman, monnen@
@change direction@|@vire@
@change for the worst@|@revè@
@change gears@|@chanje vitès@
@changes with the seasons@|@flè sezon@
@chant@|@chante, refren@
@chap@|@kaskèt@
@chap (young man)@|@jenn gason@
@chapter@|@chapit@
@character@|@dispozisyon an@
@character  pran dispozisyon to take steps@|@dispozisyon 2@
@characteristic@|@karakteristik@
@characterization@|@karakterizasyon@
@characterize@|@karakterize@
@charcoal@|@chabon@
@charcoal burner@|@recho@
@charge@|@chaj, chaje, pri@
@charge w a task@|@anchaje@
@charity@|@charite, zèv@
@Charles@|@Chal@
@charm@|@bèlte, cham, fetich la, sedui, wanga a@
@chary@|@ezitan, pridan@
@chase@|@chase@
@chase away@|@chase@
@chassis@|@chasi a@
@chaste@|@tifi@
@chat@|@blage, koze@
@chatting@|@lodyans, odyans@
@cheap@|@bon mache, san valè, sapat@
@cheap food@|@tchaw la@
@cheat@|@tronpe@
@cheat with marked card@|@andoye@
@cheater@|@visye@
@cheating@|@foub la@
@check@|@chèk, regle 2, tchèk la, verifye@
@check to see@|@gade pou wè@
@check up (medical etc)@|@tchèkòp la@
@checker@|@chekè@
@cheek@|@figi, jou, po figi@
@cheer@|@ankouraje, aplodisman an@
@cheerful@|@kontan, kontan@
@cheese@|@fromaj@
@chemistry@|@chimi an@
@cherish@|@pran swen, renmen@
@cherry@|@seriz@
@chess@|@echèk@
@chest@|@pwatrin@
@chestnut colored horse@|@alzan@
@chew@|@mache 2, moulen@
@chew gum@|@manje chiklet@
@chic@|@chik@
@chick@|@tipoul la@
@chicken@|@poul@
@chicken meat@|@vyann poul@
@chief@|@chèf@
@chief of rural police@|@chèfseksyon an@
@chigger@|@chik la@
@child@|@pitit, timoun, tipitit la@
@Child@|@zanfan an@
@child who speaks and acts adult@|@ti granmoun, tigranmoun@
@childbirth@|@akouchman an, kouch la@
@chill@|@rafredi@
@chill (sickness)@|@refwadisman an@
@chilly@|@frèt, fwèt@
@chimerical@|@an chimè, anchimè@
@chimney@|@chemine, cheminen@
@chin@|@manton@
@China@|@Chin@
@china (porcelain)@|@pòslèn chink@
@chirping@|@chante a@
@chit chat@|@lodyans, odyans@
@chitterlings@|@andouyèt, andwi a@
@chocolate@|@chokola@
@choice@|@chwa, preferans@
@choir@|@kè a, tchè a, tyè a@
@choirboy@|@anfannkè a@
@choke@|@toufe@
@cholerine disease@|@kolerin, kolorin@
@choose@|@chwazi@
@chop@|@koupe, taye, tranche@
@chop repeatedly@|@tchaktchak@
@chop to pieces@|@tchakade@
@chop up@|@tchake@
@Christendom@|@lakretyente@
@Christian@|@kretyen@
@Christmas@|@nwal, Nwèl@
@Christmas eve party@|@reveyon an@
@chuck@|@flanke deyò@
@chuckle@|@ri anbachal@
@chum@|@bon zanmi, patnè, zanmi@
@chump@|@blòk@
@chunk@|@bich la@
@church@|@legliz, tanp@
@churlish@|@rodonn, wodonn@
@cigarette@|@sigarèt@
@cigarette butt or stub@|@pòy la@
@cinders@|@sann@
@cinema@|@sinema@
@cipher@|@chif@
@circa@|@konsa 2@
@circle@|@sèk, vironnen@
@circular@|@ansèk, ron@
@circumstance@|@ka a, sikonstans@
@circus@|@sirk@
@citadel@|@sitadèl@
@citizen@|@sitwayen@
@city@|@lavil, vil@
@city hall@|@lakomun@
@civic@|@sivik@
@civil@|@sivil@
@civilized@|@klere@
@claim@|@reklamasyon@
@clammy@|@mwat@
@clamp@|@agraf, kranpon, près la@
@clang@|@rezone, sonnen@
@clap@|@aplodi, bat bravo@
@claps@|@ekoulman an@
@clarify@|@eklèsi, klarifye@
@clasp@|@agraf@
@class@|@klas, lekòl la@
@classic@|@klasik@
@clause@|@propozisyon@
@claw@|@grif@
@clay@|@ajil, tè glèz, tè gra@
@clean@|@nèt 3, netwaye, pròp@
@cleaned@|@netwaye@
@clear@|@ba 3, ban 3, bay 3, debarase, degaje, klè, nèt, transparan@
@clearly@|@sa klè@
@cleave@|@fann@
@clement@|@gen pitye@
@clench@|@mare, ponyen, sere@
@clergyman@|@klèje@
@clerk@|@anplwaye a, komi@
@clever@|@eklere, entelijan, klere 3@
@clever people@|@moun lespri@
@clever person@|@nèg lespri@
@client@|@pratik la@
@clientele@|@achalandaj, pratik@
@cliff@|@falèz@
@climb@|@granpe, moute@
@climb up on@|@grenpe@
@clip@|@taye@
@cloak@|@mask@
@clock@|@lòlàj, revèy@
@clod@|@bit tè@
@close@|@fèmen, pre, prè, pwe, toupre@
@close relative@|@frè a@
@close to@|@bò, bò kot, bò kote, bòkot, bòkote, pre, prè, près pou, prèt pou, pwe, pwèt pou@
@closely@|@de pre@
@cloth@|@etòf la, twal@
@clothe@|@abiye@
@clothes@|@rad@
@clothing@|@rad@
@clothing (formal)@|@abiman an@
@cloud@|@nuaj, nyaj@
@clout@|@mayèt la@
@clump@|@touf@
@clumsy@|@agoch, agòch, anbarase 2, gòch, mal 2, maladwa, malagòch@
@cluster@|@fè pil, grap@
@coach@|@antrenè a, vwati, vweti a@
@coal@|@chabon@
@coals of@|@boukan an 2@
@coarse@|@koryas, òdinè, vilgè@
@coast@|@desann sou roulib, rivaj@
@coat@|@kouvri ak kouch, manto, vès@
@coax@|@kajole@
@cobweb@|@fil arenyen@
@cock@|@ame, branche, kòk@
@cock-eyed@|@je twèt@
@cockpit@|@gagè@
@coco grass@|@afyo a, apio a@
@coconut milk@|@lèt kokoye@
@coconut water@|@dlo kokoye@
@coddle@|@dòlote@
@coefficient@|@koefisyan@
@coerce@|@fòse, kontrenn@
@coffee@|@kafe@
@coffee colubrina@|@bwa fèblan an@
@coffee with cream@|@kafe ole@
@coffin@|@sèjèy@
@cognac@|@konyak@
