@English@|@Haitian creole@
@approximately@|@apepre, apeprè, apeprèman, konsa 3@
@apricot@|@abiko, abriko@
@April@|@avril@
@apt@|@aptopriye, jis@
@Arab@|@Arab la@
@arbiter@|@abit la@
@archbishop@|@monsenyè@
@Archbishop@|@achevèk@
@Architect@|@achitèk la@
@Architecture@|@achitekti@
@archives@|@achiv la@
@are@|@gen 2, ye@
@are going@|@pral 2, pral 3@
@are going (ale progressive present)@|@apral, aprale, prale@
@are not@|@pa gen 3@
@are you all right@|@sa ou genyen@
@argue@|@mentni@
@argument@|@agiman an, akrochay la, altèkasyon an, diskisyon, kont@
@arise@|@gaye, pete, plede, provni@
@ark@|@lach@
@arm@|@bra@
@armchair@|@dodin, fotèy@
@armed officials@|@otorite@
@armpit@|@anba bra a, anbabra a@
@army@|@lame a@
@arnica@|@anika@
@around@|@alantou, anviron, otou, vè@
@arouse@|@eksite, reveye@
@arrange@|@ranje@
@arrangement@|@aranjman an@
@array@|@etalaj@
@arrest@|@arestasyon, arete@
@arrival@|@rive 3@
@arrive@|@abouti, bouti, rive, rive 2, vin@
@arrived@|@rive 2, te vini@
@arrogance@|@lògèy, ògèy la@
@arrogant@|@arogan@
@arrow@|@flèch, flèch la@
@art@|@ar, la@
@artery@|@vèn nan, venn nan@
@artful@|@koken, rize@
@article@|@atik@
@articles@|@ribrik@
@artificial@|@artifisyèl@
@artistic@|@atistik@
@as@|@ak, an, antanke, avèk, detan, dizon 2, etan, fiamezi, kankou, kom, kòm, menm ak, ofiamezi, otan, piske 2, pliske, puiske, pwiske, tankou@
@as a consequence@|@akoz de@
@as a helping verb it indicates an action that has@|@pran 4@
@as a mater of fact@|@ositou@
@as a matter of fact@|@epi tou, epitou, jisteman@
@as a result of@|@afòs, akoz de@
@as a result of that@|@dekwa 2@
@as agreed@|@kòm nou dizon@
@as far as@|@annegad, jis, jouk, jous, selon@
@as far as ( ) is concerned@|@annega de 2@
@as for@|@ala, annega de, annegad, menm 2, pou@
@as for him@|@li menm menm@
@as if@|@kankou, kòm ki dire, kòm si, kòmkidire, kòmsi, konmsi, tankou@
@as if to say@|@kòmkwa@
@as if to say it is not he@|@kòmkwa se pa li@
@as little as@|@menm, menm ak, menm fòs, menm kantite, menm mezi, menm valè@
@as long@|@toutan@
@as long as@|@denpi, depi, depi 2, tank, tout tan, toutotan, touttan@
@as much as@|@menm, menm ak, menm fòs, menm kantite, menm mezi, menm valè, otan, tan@
@as much as you wish@|@adlibitòm@
@as much as you with@|@adibitòm@
@as of@|@apati de@
@as soon as@|@annik, denpi, depi 2, nik@
@as soon as possible@|@le pli vit ke posib@
@as that@|@kon sa@
@as though@|@kòm si, konmsi@
@as we agreed@|@kòm nou dizon@
@as we have@|@jan nou te@
@as well as@|@byen ke, epi 2, epitou 3@
@as you were@|@otan@
@as you wish@|@jan ou vle@
@ascend@|@monte, moute@
@ascent@|@monte@
@ascertain@|@tcheke, verifye@
