@dwindle (v)@|@réna@
@eager@|@annt, fúss, gjarn@
@eagle@|@ǫrn, ari@
@earl@|@jarl@
@early@|@snemt, snimhendis, snimma@
@earn (v)@|@ǫðlask@
@earth@|@fold, jǫrð, mold@
@earthquake@|@landskjálpti@
@easily@|@vel@
@Easterner@|@austmaðr@
@eastward@|@austr@
@easy@|@dæll, hœgr@
@eat (v)@|@eta, nyta@
@Eat a meal (v)@|@matask@
@ebb_tide@|@fjara@
@edge@|@egg, jaðarr, þrǫmr@
@egg@|@egg@
@eight@|@átta@
@eighteen@|@átján@
@elated@|@uppstertr@
@elder@|@ellri@
@elect (v)@|@taka@
@eleven@|@ellifu@
@elf@|@álfr@
@elk@|@elgr@
@elm@|@almr@
@eloquent@|@snjallr@
@else@|@ella@
@employment@|@vist@
@empty (v)@|@drekka, ryðja@
@enchantment@|@seiðr@
@encircle (v)@|@sveipa@
@enclosure@|@garðr, tún@
@encomium@|@hróðr, lofkvæði, mærð@
@encounter@|@viðreign@
@encourage (v)@|@fysa@
@end@|@enda, endi, lykð@
@end (v)@|@lúka@
@endurance@|@eljun@
@endure (v)@|@þola@
@enemy@|@andskoti, fjándmaðr, óvinr@
@energetic@|@bilstyggr@
@energy@|@atferð, dáð@
@engender (v)@|@geta@
@engrave (v)@|@grafa@
@enjoy (v)@|@njóta, una@
@enormously@|@allstórum@
@enough@|@gnógr, œrinn, œrit@
@enslave (v)@|@þjá@
@entangle (v)@|@vefja@
@enterprising@|@gørviligr@
@entertain (v)@|@skemta@
@entertaining@|@skemtiligr@
@entertainment@|@fǫgnuðr@
@entice (v)@|@teygja@
@entrance@|@innganga@
@enumerate (v)@|@telja@
@equal@|@jafn, líki@
@equality@|@jǫfnuðr, jafnaðr@
@equinox@|@jafndœgri@
@equipment@|@búnaðr@
@erect@|@uppréttr@
@errand@|@sendiferð@
@erring@|@villr@
@establish (v)@|@setja@
@established@|@fullkominn@
@esteem@|@metorð@
@esteem (v)@|@virða@
@estimate@|@ætlun@
@estimate (v)@|@meta, virða@
@estuary@|@óss@
@evening@|@aptann, kveld@
@evensong@|@kveldsǫngr@
@event@|@atburðr@
@every@|@hverr@
@everything@|@hvatvetna@
@evident@|@auðsénn, auðsýnn@
@evil@|@illr, vándr@
@ewe@|@ásauðr@
@exactly@|@inniliga@
@exaggerate (v)@|@ofsa@
@exceedingly@|@ákafliga, forkunnar, helzt@
@excellent@|@ágætr@
@excuse@|@várkunn@
@exhaustion@|@mœði@
@exhortations@|@fortǫlur@
@exiled@|@útlægr@
@exist (v)@|@syna@
@expect (v)@|@ætla, vænta@
@expectation@|@ván@
@expedient@|@ráð@
@expedition@|@fǫr@
@expense@|@kostnaðr@
@expensive@|@dýrr@
@exploration@|@landaleitan@
@explore (v)@|@kanna@
@expression@|@orðtœki@
@extend (v)@|@ganga@
@externally@|@útan@
@extinguish (v)@|@sløkkva@
@eye@|@auga@
@eye_brow@|@brún@
@face@|@andlit@
@fail (v)@|@þrjóta@
@faintness@|@ómegin@
@fair@|@fagr, sannligr@
@fair_minded@|@ørgrandr@
@faith@|@trú@
@fall@|@fall@
@fall (v)@|@detta, falla, hrata@
@Fall asleep (v)@|@sofna@
@Fall back (v)@|@hrøkkva@
@Fall down (v)@|@rata@
@Fall down on (v)@|@hlaupa@
@false@|@flár, fláráðr, undirfǫrull@
@falsehood@|@lygi@
@falseness@|@lausung@
@fame@|@dómr, frami, orðstírr@
@family@|@ætt, skuldalið@
@famous@|@frægr, mærr@
@far@|@fjarri, fjarri@
@farm@|@bú, hús, staðfesta@
@farm_cattle@|@búfé@
@farming@|@bú@
@farmstead@|@bœr@
