@English@|@Dutch@
@Algeria@|@Algerië, Algerije@
@Algerian@|@Algerijns@
@Algiers@|@Algiers@
@algorithm@|@algoritme@
@alibi@|@alibi@
@alien@|@afschuwelijk, ijselijk@
@alive@|@levend@
@all@|@de hele ... door@
@allegedly@|@naar men zegt@
@alley@|@steeg@
@alligator@|@alligator@
@allot@|@loten, verloten@
@allow@|@laten, laten begaan, laten schieten@
@alloy@|@alliage, legering, metaalmengsel@
@allude@|@zinspelen@
@alluring@|@aanlokkelijk, lekker@
@allusion@|@toespeling, zinspeling@
@almighty@|@almachtig@
@almond@|@amandel@
@almond-eyed@|@amandelogig@
@almost@|@bijkans, bijna, haast, schier@
@alms@|@aalmoes@
@almshouse@|@aalmoezeniershuis, armhuis@
@alone@|@alleen, enig, louter, verlaten@
@along@|@blijkens, ingevolge, langs, naar@
@alongside@|@behalve, bezijden, naast@
@Alost@|@Aalst@
@alp@|@alp, alpenweide@
@alphabet@|@ABC, alfabet, eerste beginselen@
@Alps@|@Alpen@
@already@|@al, alreeds, alvast, reeds@
@Alsace@|@Elzas@
@Alsace-Lorraine@|@Elzas-Lotharingen@
@Alsatian@|@Elzassisch@
@also@|@eveneens, evenzeer, mede, ook@
@Altai@|@Altai@
@altar@|@altaar@
@alter@|@anders maken, veranderen@
@alternate@|@afwisselend@
@alternating@|@afwisselend@
@alternative@|@alternatief, keus, keuze@
@although@|@al, alhoewel, hoewel, ofschoon, wel@
@altitude@|@hoogte, stand@
@altogether@|@alles wel beschouwd@
@aluminium@|@aluminium@
@aluminum@|@aluminium@
@Alva@|@Alva@
@always@|@altijd, immer, steeds@
@amaryllis@|@amaryllis, goudlelie@
@amass@|@opeenhopen, ophopen, stapelen@
@amateur@|@amateur, dilettant, knutseaar@
@amaze@|@bevreemden, verbazen, verwonderen@
@amazing@|@bevreemdend, verbazingwekkend@
@Amazon@|@Amazone@
@ambassador@|@ambassadeur, gezant@
@ambiguous@|@dubbelslachtig, dubbelzinnig@
@ambition@|@ambitie, eerzucht@
@ambitious@|@ambitieus, eerzuchtig@
@Amboina@|@Ambon@
@Amboinese@|@Ambonees@
@ambulance@|@ambulance, ambulancewagen, ziekenauto@
@ambush@|@een hinderlaag leggen@
@America@|@Amerika@
@American@|@Amerikaans@
@amidst@|@in het midden van, medio, midden@
@Amirants@|@Amiranten@
@Amman@|@Amman@
@Ammon@|@Ammon@
@ammunition@|@ammunitie, munitie@
@Amon@|@Ammon@
@among@|@tussen@
@amortize@|@afbetalen, aflossen, afschrijven@
@amount@|@aantal, getal, tal@
@ampere@|@ampère@
@ampère@|@ampère@
@ample@|@omvangrijk, uitgebreid, veelomvattend@
@amputate@|@afzetten, amputeren, wegsnijden@
@amputation@|@amputatie, wegneming@
@Amsterdam@|@Amsterdam, Groot-Mokum, Mokum@
@Amudaryra@|@Amoedarja@
@Amun@|@Ammon@
@amuse@|@amuseren, onderhouden, opvrolijken@
@amusement@|@amusement, vermaak@
@amusing@|@aardig, amusant, leuk, vermakelijk@
@an@|@een@
@anaemia@|@anemie, bloedarmoede@
@anaemic@|@bloedarm@
@anaesthesia@|@anesthesie, verdoving@
@analogous@|@analoog, gelijksoortig, overeenkomend@
@analyse@|@analyseren, ontbinden, ontleden@
@analysis@|@analyse, ontbinding, ontleding@
@analytic@|@analytisch@
@analytical@|@analytisch@
@analyze@|@analyseren, ontbinden, ontleden@
@Anatolia@|@Anatolië@
@anchor@|@anker@
@anchovy@|@ansjovis@
@ancient@|@aloud, antiek, ouderwets@
@and@|@en@
@Andalusia@|@Andalusië@
@Andalusian@|@Andalusisch@
@Andes@|@Andes, Andesgebergte@
@Andorra@|@Andorra@
@Andorrian@|@Andorraans, Andorrees@
@Andromeda@|@Andromeda@
@anecdote@|@anecdote, anekdote@
@anemia@|@anemie, bloedarmoede@
@anemic@|@bloedarm@
@anemone@|@anemoon@
@anesthesia@|@anesthesie, verdoving@
@anew@|@nogmaals, opnieuw, van voren af aan@
@angel@|@engel@
@angelic@|@engelachtig@
@anger@|@boosheid, gramschap, toorn@
@angle@|@hoek@
@anglicism@|@anglicisme@
@Anglo-Saxon@|@Angelsaksisch@
@Angola@|@Angola@
@Angolian@|@Angolees@
@Angora@|@Angora, Ankara@
@angry@|@boos, kwaad, nijdig, toornig@
