@plays@|@kritikpok, pingoarpok@
@plenty@|@amigaitut@
@polar bear@|@nanuk@
@possessor@|@innua or inua@
@powerful@|@nertuark@
@precedes@|@imgiarpok, ingiarpok@
@precious stone@|@uyaraut@
@prefers@|@ibleriwok@
@pretty@|@inerkonartok@
@prevails against someone@|@sappiutiwa@
@procreates@|@inuliorpok@
@promised gift@|@aitorniarnerk@
@protects@|@sapputiyok@
@protects one's self@|@ulureasukpok@
@proud@|@unangmiyok@
@pulls hard@|@issorartuyok@
@punishes unjustly@|@piksukpok@
@pupil@|@iyakovik, takuvitnar@
@pushes s. o. to make him fall@|@pingoyok, pinguyarpok@
@questions@|@aperiyok@
@questions many times@|@apersorpok@
@quick@|@nakkertok, pialayok@
@quick!@|@tuawi!@
@rainbow@|@katauyak@
@recognizes@|@illitariyok@
@recognizes well@|@sokoersiwok@
@recoils@|@siterpok@
@refuses@|@krepiluktok, kronutpok, kronuyok, kunuyok@
@regrets@|@oggoriwok, ogguarpok@
@related@|@illa@
@remembers@|@aulaiyiyok, erkrarpok@
@replies@|@akpikok, akpiusarpok@
@reproaches@|@sirayukpok@
@repulses@|@siterpok, ungomayok@
@requires little@|@pijareakiktok@
@requires much@|@pijareakortuyok@
@returns home@|@utterpok@
@revenges@|@akkisartorpok, akkiwok, mamerpok@
@rings the bell@|@sivanerteriyok@
@robs@|@tiglikpok@
@runs@|@akpattok, udlayok@
@runs around@|@pidgalerpok@
@says no@|@naksitarpok@
@scandalizing@|@tammarnartok@
@scowls at some one@|@kriksimigarpok@
@scratches@|@tadlikpok@
@seal@|@natserk or netserk, nerserk, netjerk, netjerk@
@seeks@|@ivarpok, krenerpok, krenorarpok@
@seeks help@|@tatiksarpok@
@seeks to be alone@|@inuilitiriyok@
@sees@|@takuyok, tautukpok@
@sees well@|@takpikpok@
@shakes@|@sajukpok, sayukpok@
@shakes one's self@|@ipsorpok@
@shield@|@tallikut@
@shines@|@aligortarpok@
@shivers@|@olikpok@
@short hair@|@saggark@
@should be imitated@|@tubjagaeksauwok@
@shows head above water@|@puibjarpok, puiyarpok@
@shrewdness@|@silatunerk@
@shy@|@kangusukpok@
@sighs@|@anersarpok@
@sight@|@takudjutinerk@
@sings@|@pissarpok@
@sits on heels@|@akrovikpok@
@six@|@pingasuyortok (Okk.)@
@skilful@|@audlatsiariktok@
@skinny@|@sadluyok@
@sleep@|@sinnik@
@sleeps (camps away from home)@|@sinniktarpok@
@sleeps v.@|@sinnikpok@
