@Malay@|@English@
@bendalir@|@fluid@
@bendang@|@wet rice-fields@
@bendar@|@ditch or moat@
@bendela@|@bale, package@
@bendera@|@flag@
@bendi@|@lady's finger@
@bendul@|@cross-beam@
@bendung@|@barrier, dyke@
@bengal@|@temporarily deaf, stubborn@
@bengang@|@buzzing or ringing in the ears@
@bengis@|@cruel, harsh@
@bengkak@|@swollen, bloated, swelling@
@bengkalai@|@unfinished@
@bengkang@|@zig-zag@
@bengkang-bengkok@|@zig-zag@
@bengkarung@|@newt@
@bengkel@|@workshop@
@bengkeng@|@cantankerous, irritable@
@bengkok@|@bent, crooked@
@bengkung@|@sash for the waist, corset, girdle@
@benguk@|@goitre@
@benih@|@seed@
@bening@|@transparent, clear, limpid@
@benjol@|@bump or swelling, esp. left by a blow@
@bentak@|@snarl, snap@
@bentan@|@relapse@
@bentang@|@spread out (carpet or mat)@
@bentar@|@moment@
@bentara@|@herald, state proclamation officer@
@benteng@|@stronghold, fortress@
@bentuk@|@form, shape, appearance@
@benua@|@continent@
@bera@|@blush, flushing of face@
@berabad-abad@|@for centuries@
@berada@|@rich, to be@
@beradab@|@courteous, polite@
@beradat@|@polite, customary, ceremonious@
@beradik@|@having siblings@
@beradu@|@to report, to compete@
@beragak@|@not sure@
@beragama@|@having a religion@
@berahi@|@amorous, feeling sexual love@
@berair@|@watery@
@berajar@|@educated, courteous@
@berak@|@defecate@
@berakal@|@intelligent, smart@
@berakar@|@having roots@
@berakhir@|@ended@
@berakibat@|@resulted in@
@beralah@|@to surrender@
@beralamat@|@addressed to@
@beralasan@|@well-founded@
@beralaskan@|@to base on, to line with@
@beralatkan@|@to equip@
@beralih@|@altered, shifted@
@beralun-alun@|@wavy, billowy@
@beramal@|@to do good work, to perform good deeds@
@beranak@|@to bear a child, to give birth@
@beranda@|@gallery, verandah, terrace@
@berandai@|@to discuss, to debate@
@beraneka@|@having a variety of@
@berang@|@disgruntled, discontented, annoyed@
@berangan@|@chestnut@
@berangan-angan@|@to day-dream@
@beranggapan@|@of the opinion@
@beranggota@|@having limbs, having members@
@berangin@|@windy, breezy@
@berangkat@|@to depart, to leave@
@berangkut@|@to transport several times@
@berangsang@|@pep, vigour@
@berangus@|@muzzle@
@berani@|@brave@
@berani mati@|@not afraid of death@
@beranjak@|@to shift position slightly@
@beransur@|@to progress in stages@
@berapa@|@how much, how many@
@berapa@|@how many@
@berapi@|@on fire@
@berapi-api@|@fiery@
@berapit@|@wedged in between, closely situated@
@berapungan@|@floating or drifting in great numbers@
@berarah@|@having a direction@
@berarak@|@to walk or march in procession@
@beras@|@rice@
@beras@|@rice (unboiled)@
@beras kunyit@|@saffron rice@
@beras pulut@|@glutinous rice@
@berasah@|@whetted@
@berasak-asak@|@packed, crammed@
@berasal@|@originated@
@berasal@|@to originate (from)@
@berasap@|@emitting smoke@
@berasas@|@founded or based on@
@berasingan@|@separate@
@berasmara@|@to be in love, to make love@
@berat@|@heavy@
@berat@|@heavy, tough@
@beratap@|@having a roof@
@beratapkan@|@to have as a roof@
@beratnya@|@weight@
@beratur@|@arranged@
@beraturan@|@orderly@
@berawalan@|@having a prefix@
@berawan@|@cloudy@
@berawas-awas@|@to be cautious@
@berayah@|@having a father@
@berayun-ayun@|@to swing@
@berazam@|@to be determined@
@berbadan@|@having a body@
@berbadan dua@|@pregnant@
@berbagai-bagai@|@of various types@
@berbahagia@|@fortunate, blissful@
@berbahas@|@to debate, to discuss@
@berbahasa@|@courteous, cultured, using a language@
@berbahaya@|@dangerous@
@berbaik@|@to be on good terms@
@berbaju@|@dressed@
@berbakat@|@talented@
@berbaki@|@having a balance or surplus@
@berbakti@|@to be devoted or dedicated@
@berbalah@|@to bicker or quarrel@
@berbalam@|@unclear, vague, hazy@
@berbalas-balasan@|@exchange@
@berbalik@|@to turn back, to return@
@berbalut@|@bandaged@
@berbanding@|@compared with@
@berbangga@|@feeling proud@
@berbangkit@|@to get up@
@berbanjar@|@forming a line or row@
@berbantalkan@|@to use as a pillow@
@berbapa@|@having a father@
@berbarah@|@having cancer@
@berbaring@|@to lie down, to recline@
@berbaris@|@to line up@
@berbatas@|@having a border@
@berbatu-batu@|@stony@
@berbau@|@to emit an odour@
@berbaur@|@mixed (with)@
@berbayang@|@shadowy, to cast a shadow@
@berbedak@|@powdered@
@berbekal@|@having a supply of@
@berbekas@|@having marks or traces@
@berbelah bagi@|@half-hearted@
@berbelang@|@striped@
@berbelanja@|@to spend@
@berbelit-belit@|@coiled, twined, twisted@
@berbenteng@|@fortified@
@berbentengkan@|@use as a fort@
@berbentuk@|@having the form of@
@berbesar hati@|@grateful@
@berbeza@|@to differ, to be different@
@berbeza-beza@|@differently@
@berbicara@|@to discuss@
@berbiji@|@having seed@
@berbilang@|@several, numerous@
@berbincang@|@to discuss, to deliberate@
@berbincang-bincang@|@to discuss@
@berbini@|@married (for a man)@
@berbintang@|@starry@
@berbintik@|@spotted, dotted@
@berbisa@|@venomous, malicious@
@berbisik@|@to whisper@
@berbogel@|@nude, naked@
@berbohong@|@to lie@
@berbolak-balik@|@to vacillate, to hesitate@
@berbonggol@|@having a hump@
@berbongkah-bongkah@|@in large chunks or pieces@
@berborak@|@to talk idly@
@berbuah@|@to bear fruit@
@berbuai-buai@|@to swing@
@berbual@|@to converse@
@berbudi@|@kind, wise, sensible@
@berbuih@|@foaming@
@berbukit@|@hilly@
@berbukit-bukit@|@hilly@
@berbulan-bulan@|@for several months@
@berbulu@|@hairy, feathery@
@berbunga@|@to produce flowers@
@berbunga-bunga@|@floral, flowery@
@berbungkus@|@wrapped up@
@berbunuhan@|@killing of one another@
@berbunyi@|@to sound@
@berburu@|@to hunt@
@berbusa@|@to froth, to foam@
@bercabang@|@having branches@
@bercabang-cabang@|@having many branches@
@bercacah@|@tattooed@
@bercacar@|@vaccinated against smallpox@
@bercaci-cacian@|@to exchange abusive remarks@
@bercadang@|@intend@
@bercadang@|@to plan@
@bercahaya@|@giving out light@
@bercakap@|@to speak@
@bercakap@|@to talk, to speak@
@bercakap-cakap@|@to chat@
@bercakar@|@to argue@
@bercalar@|@having been scratched@
@bercambah@|@germinate, sprout@
@bercampur@|@to be involved, to associate@
@bercampur baur@|@mixed (feelings)@
@bercampur gaul@|@to mingle@
@bercanggah@|@in opposition, conflicting, forked@
@bercanggahan@|@in opposition, conflicting, forked@
@bercantum@|@to join together, to coalesce, to come@
@bercat@|@painted@
@bercawat@|@to wear a loincloth@
@bercekak@|@with arms akimbo@
@bercekak pinggang@|@standing with arms akimbo@
@bercelaru@|@disorganised, disorderly@
@berceloteh@|@to chatter@
@bercendawan@|@mouldy@
@bercengkerama@|@to amuse@
@bercerai@|@divorced, to part@
@bercerai-berai@|@scattered, broken up@
@berceramah@|@to lecture@
@bercerita@|@to tell a story@
@bercermin@|@having a mirror@
@bercetai-cetai@|@tattered@
@berciciran@|@dropping scatteredly@
@bercinta@|@in love, having feeling of love@
@bercirikan@|@featured, characterised@
@bercita-cita@|@ambitious@
@bercium@|@to kiss, to smell@
@bercium-ciuman@|@to exchange kisses@
@bercorak@|@having designs and colour@
@bercoreng@|@streaked@
@bercucuran@|@to flow, to gush@
@bercukur@|@to shave@
@bercumbu-cumbuan@|@smooch@
@bercumbuan@|@to flirt@
