@greeting to chiefs@|@laumalie@
@Greetings@|@Malo e Lelei@
@Gregory@|@Kelekolio@
@grey@|@panefunefu, tukumisi@
@grind with teeth@|@ngungu@
@grocery store@|@fale koloa meakehekehe@
@groin@|@fo'i tupu@
@group@|@kulupu@
@grouping session@|@tutuku@
@guesthouse@|@fale nofo totongi@
@gut@|@kete@
@hack@|@totofi@
@haemorrhage@|@fanoa@
@hair@|@fulufulu, lou'ulu@
@hairy@|@fulufulua@
@Haiti@|@Haiti@
@halellujia@|@haleluia@
@hall@|@holo@
@ham@|@hami@
@hand@|@nima@
@handkerchief@|@holoholo@
@hands@|@noma@
@hankerchief@|@holoholo@
@happy@|@lata@
@hard@|@fefeka@
@haunted@|@'avanga@
@Have you been here before?@|@Na'ake 'i heni kimu'a@
@having many roots@|@akaaka@
@Hawaii@|@Hauai'i@
@Hawaiian styled full length dress@|@mumu@
@he@|@ia@
@head@|@'ulu@
@headache@|@ngangau@
@headgear for dancers@|@tekiteki@
@headgears for dancers@|@tekiteki@
@heart@|@mafu@
@heavy@|@mamafa@
@heel@|@muiva'e@
@hell@|@heli@
@hen@|@moa fefine@
@Henry@|@Heneli@
@hepatitis@|@hepataitisi@
@her@|@ia@
@hernia@|@pakafukafu@
@hiccup@|@tokomohu@
@hill@|@sia, tafungofunga@
@hilly@|@tafungofunga@
@him@|@ia@
@hip@|@hui he tefito 'o e alanga@
@hit all over@|@nafui@
@hold@|@puke@
@holding on@|@pipiki@
@hole@|@ava@
@holes@|@avaava@
@holiday@|@'eve'eva@
@Holland@|@Holani@
@honey@|@hone@
@Hong Kong@|@Hongo Kongo, Hongokongo@
@hope@|@'amanaki@
@horse@|@hoosi@
@hospital@|@falemahaki@
@hot of spices@|@fifisi@
@hotel@|@hotele@
@hour@|@houa@
@house@|@fale@
@How are you? (to one person)@|@Fefe hake?@
@How are you? (to three person)@|@Mou fefe hake?@
@How are you? (to two person)@|@Mo fefe hake?@
@How much ?@|@'Oku fiha ?@
@How old are you?@|@Ko ho ta'u fiha eni?@
@how?@|@fefe@
@human bein@|@tangata@
