@English@|@Occitan@
@pleasant@|@agradiu@
@please@|@se te plai, se vos plai, vo'n pregui@
@please !@|@vos en pregui !@
@pork@|@lo pòrc@
@possible@|@possible possibla, que se pòsca@
@previous@|@passat@
@prison / jail@|@la preson@
@Provence@|@Provença@
@quebecois@|@quebequés quebequesa@
@Quercy@|@Carcin@
@quick@|@lèu-lèu@
@raise the hand !@|@quilha la man !@
@rather@|@puslèu@
@ready@|@lèst lèsta, prèst prèsta@
@ready to@|@a mand de@
@regards@|@coralament@
@right@|@drech drecha@
@right now@|@còp sec, sul pic@
@rubber@|@caochoc@
@sad@|@trist trista@
@say it !@|@diga-o !@
@secure@|@segur segura@
@security@|@la seguretat@
@see !@|@tenètz !@
@See you !@|@Adieu !@
@sex@|@lo sèxe@
@she@|@ela@
@shut up !@|@cala-te !@
@since@|@dempuèi, desempuèi, despuèi@
@sister@|@sòr@
@ski@|@esquí@
@slightest@|@mendre@
@small@|@petit petita, pichon pichona, pichòt pichòta@
@snow@|@la nèu@
@so@|@aital; atal, alara, alavetz, tan; tant@
@so far@|@fins ara@
@so that@|@de biais que@
@so what ?@|@e alara ?@
@some@|@ne@
@something@|@quicòm@
@something else@|@quicòm mai@
@sometimes@|@de còps@
@somewhere@|@endacòm@
@somewhere else@|@endacòm mai@
@soon@|@aviat, lèu@
@sorry !@|@Desolat !@
@Spain@|@Espanha@
@spanish@|@espanhòl espanhòla@
@spring@|@la prima@
@sterling@|@la liura esterling@
@still@|@pr'aquò@
@straight@|@drech drecha@
@strange@|@estrange estranja, estranh estranha@
@strong@|@valent valenta@
@sugar@|@lo sucre@
@sure@|@segur segura, solid solida@
@take care !@|@ten-te fièr !@
@tall@|@bèl bèla@
@tea@|@tè@
@tell him !@|@diga-li !@
@tell me@|@diga-me@
@thank you very much@|@mercé plan@
@that@|@aquel aquela, aquò, que@
@that suits you well !@|@t'esta plan !@
@that's life !@|@aital la vida !@
@the@|@la, las, lo, lo la los las, los@
@the afternoon@|@la tantossada, lo tantòst@
@the airport@|@un aeropòrt@
@the apple@|@la poma@
@the arm@|@lo braç@
@the armchair@|@lo cadieral@
@the art of poetry@|@lo trobar@
@the audience@|@lo public@
@the back@|@l'esquina@
@the baker@|@lo fornièr@
@the balcony@|@lo balcon@
@the ball@|@la bala, la palma, la pauma, lo balon@
@the balloon@|@lo balon@
@the banana@|@la banana@
@the bath@|@lo banh@
@the battle@|@la batalha@
@the beach@|@la plaja@
@the bed@|@lo lièch@
@the bedroom@|@la cambra@
@the beginning@|@lo començament@
@the best@|@lo mièlhs@
@the Bible@|@la Bíblia@
@the boat@|@lo batèl@
@the body@|@lo còs@
@the book@|@lo libre@
@the bookshop@|@la librariá@
@the box@|@la boita@
@the boy@|@lo dròlle, lo gojat@
@the breakfast@|@lo dejunar@
@the brook@|@lo riu@
@the bullet@|@la bala@
@the bus / the coach@|@lo bus / lo carri@
@the business@|@los afars@
@the cactus@|@lo cactus@
@the calf@|@lo vedèl@
@the car@|@la veitura; l'autò@
@the castle@|@lo castèl@
@the cat@|@lo gat; lo cat@
@the chair@|@la cadièra@
@the character@|@lo personatge@
@the cherries@|@las cerièras@
@the chest@|@lo pitre@
@the chimney@|@la chiminièra@
@the church@|@la gleisa@
@the city@|@la ciutat@
@the cityhall@|@la comuna@
@the clock@|@la pendula, lo relòtge@
