@to forget@|@maršda-, mašdä, mu(r)šda-@
@to fry@|@ïla-@
@to get drunk@|@sdö-, soGdö-@
@to give@|@uGo-@
@to gnaw@|@morzi-, murze-, xamla-@
@to go out@|@Gari-@
@to go round@|@xargi-, xërgi-@
@to go through@|@tü-@
@to go to a place@|@siži, szi-@
@to grow@|@ösë-@
@to guess@|@tä-@
@to heat@|@qalamacha-, xala- xalong, xarmaza-@
@to herd@|@dulä-@
@to hinder@|@bö-@
@to intend@|@sgir@
@to jump@|@düli-@
@to kick@|@sgor, sgorda-, tangGë-@
@to kill@|@ala-@
@to kneel@|@sogodi-, sugodë-@
@to know@|@mude-@
@to laugh@|@šëne-@
@to lead@|@kudol, kudolë-, kudoli-@
@to lie (of animals)@|@kidë-@
@to listen@|@changla-, chingla-, cinla-@
@to lose@|@gë-@
@to make@|@gë-, gi-@
@to meet@|@surä-@
@to melt@|@šërili-@
@to milk@|@s(w)ä-, säli@
@to mix@|@GusGu-@
@to move@|@gudoli-@
@to mow@|@Gadë-, Gadi-, Gadir@
@to nail@|@Gada-@
@to open@|@në-@
@to open one`s mouth@|@angGë-, ngGai@
@to order@|@žëGän@
@to paint@|@buda-, budi-@
@to pass@|@däri-, noGszi-@
@to perforate@|@sisur@
@to pierce@|@chölë-, cöli-@
@to pinch@|@cinggi-@
@to pound@|@nëdë-, nidi-, nidir, nudë-@
@to pour@|@fizuru-, fuzuru-@
@to pray@|@mošë-, moši-@
@to prepare@|@beledGa-, zïsële-@
@to present@|@däbüla-@
@to press@|@šëmä, šëmäli-, šGä-, šiGä-@
@to press down@|@däri-@
@to protract@|@terge-@
@to pull@|@cida-, hdä-, tidür@
@to quarrel@|@këredi-@
@to quilt@|@sde-, šdë-@
@to reach@|@kurë-, kuru-@
@to regret@|@gënšë-@
@to rest@|@xamurä- xamburä-@
@to rise of dust@|@puzirä-@
@to roast@|@kurgu-@
@to rot@|@fü-@
@to rub off@|@ile-@
@to rust@|@že@
@to saddle@|@tuGu-@
@to say@|@kile-@
@to see@|@uza-, uze-@
@to shoot from a bow@|@xarmu-@
@to shrink@|@fumuri-@
@to sink@|@(w)ï-@
@to sit@|@sü-@
@to sleep@|@ncä-, ntërä-@
@to smear@|@šawar@
@to smell@|@funis-@
@to sneeze@|@naitä-, näta-@
@to speak@|@gi-, gule-@
@to spin@|@tomu-@
@to spin a spindle@|@irga-@
@to stand@|@ba-ng, bë-, wai-, wë-@
@to step@|@(x)arGu-, xalGula-@
@to step down@|@bau-, bü-@
@to strain@|@surGu-@
@to stumble@|@budëri-@
@to suck@|@š6eme-, šëmu-, simu-@
@to suffer@|@žoblong, zoGlong@
@to swallow@|@cargi-, chalga-@
@to take@|@abu-, awu-@
@to take out@|@soGor, süli-, sürä-@
@to taste@|@amusa-@
@to teach@|@zä-@
@to transport@|@te-@
@to tuck up@|@sü-@
@to urinate@|@šë-@
@to walk@|@jau-, jü-@
@to walk submerging into water@|@xumbä-@
@to wash@|@(u)ngGwä-, ua-@
@to wave@|@d(w)eli-, d(w)esë-@
@to wrap@|@furö-, xuro-, xurö-@
@toe@|@qorun, qurün@
@together@|@coG, cuzolo, xamdë, xamdi@
@too much@|@GongGor@
@tooth@|@šdi@
@top of milk@|@jermen, rmen@
@track@|@mör, mur, rze@
@trade@|@däldë-, därdi-@
@transport@|@zö-@
@tree@|@mödi@
@tremble@|@sirgö-, surgö-@
@trumpet horn@|@büraG@
@turn upside down@|@komori-, kumorë-@
@twenty@|@xorim, xorin, xurën@
