@large@|@kyot /curtis/, mómkatum (pl), mukát, mukát, yót (sing), yót /sing/@
@laugh /v/@|@tóya@
@laugh -to@|@tóoyu-@
@laundry - to do@|@páchxam-@
@laurel sumac@|@náqwut@
@Layia glandulosa@|@solisal@
@lazy@|@tóoqush@
@leached@|@machá-@
@lead (an animal) - to@|@hóoti-@
@learn@|@piláchi-@
@learn /v/@|@piláchi-@
@learner@|@piláchikat@
@leave (something) - to@|@kamí'i-@
@leave /v/@|@ngée@
@leave something behind - to@|@nóla-@
@left@|@échvash@
@left over - to be@|@húya-@
@left over food@|@aylóchax@
@left -we@|@ngéengi cháam@
@leg@|@'ét@
@lend -to@|@tó'ni-@
@Lepidium nitidum@|@pakil@
@let /v/@|@kamíi'i@
@let in /v/@|@xáli@
@let loose - to@|@máti-@
@let's go!@|@haní@
@liar@|@chipómkat, téelamaktam, téetlaw'tam@
@lie down /v/@|@hówa (sing), ma$a (pl)@
@lie on the ground  - to@|@pem-@
@lie -tell a /v/@|@chipóm@
@lie with one's legs spread - to@|@láta-@
@lies -tell /v/@|@chipóm@
@lift - to@|@hakáni-@
@light@|@hwáyiyat /curtis/@
@light a fire - to@|@chúya-@
@lightning@|@powáktómawut /curtis/@
@lightning -ball@|@táqish@
@like@|@áankish@
@like /v/@|@má'ma@
@listen /v/@|@náqma@
@listener@|@náqmikat@
@little@|@amáya'mal, kihúut@
@little /a/@|@wéhmali@
@little boy@|@amáya'mal@
@live /v/@|@'áw@
@Live oak@|@wiashal@
@lizard@|@ka$ílla@
@long@|@tavúlvish@
@long toothed@|@pótma tátalvish@
@longer /no/@|@qáy yú'pan@
@look askance - to@|@íisi-@
@look at -to@|@tíiwi-, tow-@
@look for - to@|@háal-@
@look for /v/@|@háal-@
@look like - to@|@aa-@
@loose - to be (clothing)@|@laxáp-@
@lot /a/@|@múyuk@
@Lotus strigosus@|@tovinal@
@love charm@|@iwée'it@
@Luiseño@|@Lusényo, Quechnajuichom@
@lump@|@purúprush@
@lumpy  - to be@|@puru-púra-@
@Lupinus@|@mawut@
@make - to@|@ló'xa-@
@make /v/@|@ló'xa-, loví'i@
@make a clashing noise  - to@|@qá$a-@
@make a sound /v/@|@xáli-@
@make arrows /v/@|@húulu@
@make baskets /v/@|@tóonav@
@make loose /v/@|@xaláavi-@
@make music /v/@|@kári@
@make soft /v/@|@yamáaqi-@
@make something stop /v/@|@witá'i-@
@make tortillas /v/@|@$áawaka-, $áawoka@
@make wiwish /v/@|@wíiw@
@maker@|@loví'ikat@
@Malacothrix Californica@|@makiyal@
@Malvastrum@|@kaukat@
@man@|@ya'áci /acc/, ya'ásh, ya'ásh /nom/@
@many@|@múyuk@
@many -too@|@'ahúyaxi@
@Manzanita@|@kolul@
@mark /v/@|@náawa-@
