@to sink@|@'vint-@
@to skin@|@tqab-@
@to sleep@|@nzhir-, zhir-@
@to smear@|@gilos-, lip-@
@to smell@|@šur-@
@to snore@|@xirx-in-, xurx-in@
@to sow@|@tas-@
@to spawn@|@ntop-, top-@
@to speak@|@tqu-@
@to spill@|@c-, ci-@
@to spin@|@rt-@
@to spit@|@purt-in-@
@to splash@|@chxap-al-@
@to split@|@xap-ul-@
@to squeak@|@ci-@
@to squeal@|@chqiap- chqi-, zum-in-@
@to stand on end@|@bijg-@
@to stand upon hind feet@|@'uc-@
@to stick in@|@cik-@
@to stink@|@'or-@
@to stretch@|@rtx-, tx-, tx-äm-, tx-im-, zik@
@to strike out fire@|@kvas-@
@to string@|@chach@
@to string on@|@cu-n-@
@to strive@|@gunch-@
@to stuff@|@titin-@
@to submerge@|@cac-@
@to suck@|@cov-, cuc-, curc-, gan-, gen-, gin-@
@to swallow@|@qulip-@
@to swear@|@puch-@
@to swim@|@nchur- chur-@
@to swing@|@kion-@
@to tear@|@biric-, buric-, chqwad-, chqwid-, gurzh-on-@
@to tear (1)@|@gurzh-@
@to tear apart@|@chkol-@
@to tear out by stretching@|@cic-, cwicw-@
@to tear roughly@|@dgiraz-, dgiriz-@
@to ted@|@rzhgim-@
@to think@|@gon-@
@to throttle@|@gurzholua, škvid-@
@to throw@|@tur-in-@
@to thunder@|@gurgin-, gwirgwin-@
@to tickle@|@xicin-@
@to tie@|@b-, s'k-, sk'u-, sku-, skv-, skv-@
@to trample@|@bak-@
@to tremble@|@žarž-al-, zhg-al-, zhg-ar-@
@to turn to coal@|@xirak-, xirik-, xirk-, xirok-@
@to tweet@|@chkärchk-än-, chkirchk-in-@
@to twine@|@cirax-, cirix-@
@to uncover@|@pach-@
@to understand@|@gän-, gin-@
@to urinate@|@ps-, psm-@
@to wait@|@chod-, l-@
@to wash@|@bon, rchx-@
@to wave@|@ka-, kirin-@
@to weave@|@girax-, girix-, girox-, rš-, š-@
@to weigh@|@con-@
@to wet@|@rt-, rtw-, šä-, šo-l-@
@to whet@|@chvar-@
@to whet the scythe@|@pir-@
