@English@|@Kott@
@sharp@|@ëtang, ëti, ëtï@
@sharp edge@|@šal, šalang, šálang, šali@
@shoe@|@hen-chrang@
@shooting@|@het-cha, hit-cha@
@shore@|@pangutu@
@short@|@thüki@
@shoulder@|@xenar@
@shoulder blade@|@achar@
@shoulder joint@|@hënar, hënarang, hinar@
@shouting@|@hujei@
@shovel@|@kulep, kulëp, kulëpang@
@side@|@ulär@
@sinew@|@tal, tálang@
@sister@|@popëcha@
@sister-in-law@|@patega, pategapun@
@sitting@|@ung@
@sky@|@ëchán, eš, ëš@
@slave@|@aryn-gyt@
@sleeve@|@haipanang, haipen@
@sleigh@|@funchálang, funchol, phunchol@
@small@|@imgara@
@small bird@|@altumä, altüma, altüman@
@small pit@|@amar@
@small sleigh@|@funchálang@
@smearing@|@thakït@
@smell@|@ït, ïtn, king@
@smelling@|@ïta@
@smith@|@afu-het@
@smoke@|@tu, tuan, tug, tui@
@snake@|@angxoi, angxon, angxotn, onxoi@
@snow@|@thïk, thïkan, thïki, tik, tyg, tyk@
@soap@|@urkälcek, urkiše, urkolökng@
@soft@|@fügam, fükam, phügam@
@softly@|@pugama@
@sole of foot@|@pulap, pulapang@
@son@|@fup, fupan, pup@
@song@|@ulai, ulajang@
@son-in-law@|@ana, anan, ane, ani@
@soon@|@et-pang@
@sound@|@ei, ëjang@
@source@|@aléten@
@sowing@|@achö'uk@
@speaking@|@cagar, dili@
@spending the night@|@šagal@
@spit@|@hupanga@
@spitting@|@hujung@
@spleen@|@tebolä@
@splinter@|@šëkan, šëki, šëkng@
@spool@|@fölachagarang@
@spoon@|@xalpen@
@spring@|@iij, ïjän, ïjang, ïji, ïjï, šinakng, šinang@
@squirrel@|@šaga, šagá, šága, šagán, šaha, šaxa@
@staff@|@thapui, thapujang@
@star@|@alaga, alagan, alagei, alak, alakan, alakng, aláx@
@star (1)@|@alagan, alák@
@stealing@|@üti@
@steed@|@huš, hyš@
@steppe@|@karad, karang@
@stepson@|@pašup jali@
@step-son@|@jali in pašup jali@
@sterlet@|@hola@
@stick@|@hupuchang, hupuš@
@stick into@|@axchex, axtacheang, axtalchex, axtölacheang, battajang@
@stone@|@pl. šeng, šin, šingeäkng, šingeäng, šiš, šïš@
@storm@|@taibii, tajbej@
@strap@|@küra, kürakng, kürei@
@string@|@anag, kúra, ölang, olangan, olange@
@stump@|@šagale, šagali, šagalikng, šakali@
@sucking@|@šiut@
@suede@|@tarup, tarüp@
@summer@|@šelpan, šilpakng, šilpang, šilpangán@
@sun@|@ega, éga, ëga, ëgä, ëgang, ëgei, öga@
