@English@|@Hindi@
@benevolent@|@dayaaloo, hiteshi@
@benign@|@anukool, kripaaloo, mridu swabhaav@
@bent@|@jhuka huaa, mudaa huaa@
@bent(n)@|@moad, ruchee@
@bequest@|@waseeyat@
@bereavement@|@haanee, maut@
@beside@|@nikat, paas, sameep@
@besides@|@sivaay isske@
@best@|@sarvottam@
@bet@|@baaji, sharrt@
@better@|@behtar@
@between@|@beech mein, madhya mein@
@beverage@|@peya@
@Beware!@|@saavdhaan!@
@beyond@|@paar@
@bias@|@tarafdaaree@
@biblical@|@bible sambandhi@
@bicameral@|@do vyawasthaapak ang yukt@
@bicentenary@|@dvitiya shataabdi mahotsav@
@bicker@|@jhagdaa@
@bicycle@|@saikil@
@bicyclist@|@saikil chalaane waalaa@
@bid@|@neelami ki bolee@
@bidder@|@bolee lagaane waalaa@
@bidding@|@bolee@
@biennial@|@dvivaarshik@
@big@|@badaa, mahaan@
@bigot@|@kattar@
@bigotry@|@kattarpann, pakshapaat@
@bile@|@pitt@
@biography@|@charitra@
@biological@|@jaivik@
@biological weapon@|@jaivik shastra@
@biologist@|@jeev-shastri@
@biology@|@jeev-shaastra@
@bird@|@pakshee, panchhi, panchhi@
@birthday@|@janamdin@
@biscuit@|@biskoot@
@bitch@|@kutiyaa (t as in tequila)@
@bitter@|@kadwaa@
@black@|@kaalaa, saavnlaa@
@black magic@|@kaala jaadoo@
@blast@|@dhamaakaa@
@blind@|@andhaa(m), andhee(f)@
@blindness@|@andhaapan@
@blood@|@khoon@
@blue@|@neela@
@blurred@|@aspasht@
@board@|@phalak@
@boast(n)@|@shaikhee@
@boat@|@Kashti (t as in tequila)@
@boating@|@nauka-vihaar@
@body@|@deh, deha, jism, shareer, tan@
@bomb@|@bam@
@bomb squad@|@bam dastaa@
@bone@|@haddee@
@book@|@kitaab, pustak@
@booklet@|@pustikaa@
@border@|@seema@
@bottle@|@boatal@
@bottom@|@tal@
@boundary@|@sarhad, seemaa@
@bouquet@|@guldastaa@
@box@|@baksaa@
@boy@|@Ladka@
@boycott@|@bahishkaar@
@brain@|@mastishq@
@branch@|@daalee, shakha, tahanee@
@brandy@|@daaroo@
@brass@|@peetal@
@breadth@|@chaudayee@
@breed@|@nasla@
@breeze@|@hawaa@
@bribe@|@rishwat@
@brick@|@eent@
@bride@|@dulhan@
@bride groom@|@doolhaa@
@bridge(over a river)@|@pul@
@bright@|@ujjwal@
@brightness@|@ujaalaa@
@bring it/him/her down!@|@usé neeché utaaro!@
@brinjal@|@Baingan@
@bronze@|@peetal@
@brothel@|@vaishya ghar@
@Brother@|@bandhoo, Bhaai@
@brotherhood@|@bandhutva, bhaee chaaraa@
@brutal@|@kroor@
@brutality@|@kroorrtaa@
@bud@|@kalee@
@budget@|@arthsankalp@
@building@|@imaarat@
@bullock@|@bail@
@buoyancy@|@uddhharan shaktee@
@burro@|@khachchhar@
@busy@|@vyast@
@but@|@lekin, parantu@
@butcher@|@kasaee@
@butter@|@makhkhan@
@butterfly@|@titlee@
@café@|@upahaargriha@
@cage@|@pinjraa@
@calamity@|@aapattee@
@calf@|@gaai ka bachhdaa@
@callous@|@kathin, kathor, nirrdayee@
@callow@|@anadi, anubhavheen@
@calm@|@shaant, sthir@
@calmly@|@dheeré sé, shanti sé@
@calumet@|@ék prakaar ka hukkaa, péchwaan@
@camel@|@oont@
@camera@|@kaimraa@
@camouflage@|@chhadmaavaran@
@camp@|@chhaavni, déraa, padaav@
@campaign@|@abhiyaan, ladaai@
@campaigner@|@abhiyaan chalaané waala@
@can(a utensil)@|@katoraa, tin ka barrtan@
@can(v)@|@saknaa@
@canal@|@naalaa, néhar@
@cancer@|@kark roag@
@cancer(astro.sign)@|@karrkraashee@
@candid@|@nishkapat, sachchaa@
@candidate@|@padabhilaashi, ummedwaar@
@candle@|@moambattee, mombattee@
@candor@|@kharaapann, nirmaltaa, saafdilee@
@cane@|@bént, chhadee@
@canine@|@kutte jaisaa@
@canister@|@canastar@
@canker@|@naasur, vran@
@cannibal@|@narrbhakshak, swajaatee-bhakshak@
@cannibalism@|@raakshaspann@
@cannon@|@toaf, toap@
@cannonball@|@toap ka golaa@
@canny@|@chaalak, chatur, dhoort@
@canoe@|@dongee@
@canon@|@toaf@
@canon ball@|@toaf golaa@
@canopy@|@chhattra@
@cant@|@asabhya@
@cant(n)@|@kubhaashaa@
@cantankerous@|@chidchidaa, jhagadaaloo@
@canteen@|@upahaargriha@
@canteen(of a soldier)@|@sainik ka tin ka barrtan@
@canter@|@kadam, sarpat@
@canto@|@kaand, sarrg@
@canton@|@parganaa@
@canvas@|@tirpaal@
@canvasser@|@praarthak, vote maangné waalaa@
@cap@|@toapee@
@capability@|@kshamataa, saamarrthya@
@capable@|@laayak, yogya@
@capacity@|@kshamataa@
@cape@|@gardanee, raas@
@caper@|@uchchhal-kood@
@capital@|@achchha, mool-dhan, poonji, uttam@
@capital(country's)@|@raajdhanee@
@capital(of a country/state)@|@raajdhaanee@
@capitalism@|@poonjiwaad@
@capitalist@|@mahaajan, poonjipati, sahukaar@
@capitulation@|@prann, vachan@
@capricious@|@sankee, uthlaa@
@capsule@|@capsule, koopee@
@captain@|@kaptaan, sénaapatee@
@captive@|@yudhh bandee@
@captivity@|@adheentaa, kaid@
@car@|@Car, motor gaadi@
@carbohydrates@|@karboadak@
@care@|@fikar, parvaa@
@careless@|@bayfikar@
@carelessness@|@beparvayee@
@carnivorous@|@maansaahari@
@carpet@|@galeecha@
@carrot@|@gaajar@
@cash@|@nakad@
@cast(in a play)@|@kirdaar@
@cat@|@billee@
@catastrophe@|@mahaasankat@
@cattle@|@mawaeshee@
@celebrity@|@sooprasidhh vyaktee@
@celestial@|@swargeeya@
@cemetery@|@shamshaan ghaat@
@census@|@janagananaa@
@center@|@kendra@
@central@|@kendreeya@
@century@|@Shatak@
@ceremony@|@samarambh@
@certificate@|@pramaan patra@
@certified@|@pramanit@
@chain / cascade / series@|@shrinkhlaa@
@chair@|@kursee@
@challenge@|@chunautee@
@chancellor(of university)@|@kulapatee@
@character(of a person)@|@chaaritrya@
@cheap@|@sastaa@
@cheek@|@gaal@
@chef@|@baawarchee@
@chemical@|@rasaayan@
@Chest / Breast@|@Chhatee@
